-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
-----------------------------------------------------------------------------------

1653951334.7647114	-167.0	4.940748e-10	2682.515	2.04	2680.814873042899
1653951336.8631513	-166.0	-7.057968e-10	2673.665	2.046	2671.9605006538927
1653951338.9596362	-165.0	-2.218686e-11	2664.205	2.046	2662.5065315380216
1653951341.0580828	-164.0	-1.398349e-09	2654.745	2.046	2653.05256242215
1653951343.157646	-163.0	5.132745e-10	2644.98	2.052	2643.283884497662
1653951345.2562087	-162.0	1.422517e-09	2635.8199999999997	2.052	2634.1297584241192
1653951347.3561466	-161.0	-1.197935e-09	2626.3599999999997	2.052	2624.6758247280804
1653951349.4692001	-160.0	-2.480658e-10	2616.595	2.058	2614.907260967841
1653951351.848243	-159.0	1.10551e-09	2607.4399999999996	2.058	2605.7581660661995
1653951353.9472132	-158.0	1.258011e-12	2597.9799999999996	2.064	2596.294483675708
1653951356.0453048	-157.0	-1.266911e-09	2588.5200000000004	2.064	2586.8406211303572
1653951358.1655345	-156.0	-1.430861e-09	2579.3650000000002	2.064	2577.6915607072397
1653951360.2638865	-155.0	-4.673936e-10	2570.21	2.07	2568.5327924831695
1653951362.362982	-154.0	5.226769e-11	2561.055	2.07	2559.3837666389063
1653951364.4604297	-153.0	7.622575e-10	2551.595	2.07	2549.9299398244084
1653951366.6975162	-152.0	-9.740753e-10	2542.7450000000003	2.07	2541.0857149503804
1653951368.7969553	-151.0	1.396684e-09	2533.2850000000003	2.076	2531.6222920398973
1653951370.8944006	-150.0	-3.615405e-10	2524.435	2.082	2522.7685104522125
1653951372.9941795	-149.0	3.805639e-10	2515.585	2.082	2513.9243527228587
1653951375.0919957	-148.0	1.071395e-09	2506.43	2.082	2504.7753963372948
1653951377.19145	-147.0	8.939056e-11	2497.57	2.082	2495.921245209377
1653951379.2938993	-146.0	1.308264e-09	2489.025	2.082	2487.381886136232
1653951381.3928595	-145.0	1.197679e-09	2479.8700000000003	2.088	2478.2234816371315
1653951383.4929411	-144.0	-1.349029e-09	2471.02	2.088	2469.379357625595
1653951385.591381	-143.0	1.45482e-09	2462.17	2.088	2460.5352336140586
1653951387.8028781	-142.0	-6.65088e-10	2453.625	2.088	2451.995907096705
1653951389.9014957	-141.0	-2.778142e-10	2445.08	2.094	2443.4472382175327
1653951392.0019364	-140.0	1.475544e-09	2436.535	2.094	2434.907944349615
1653951394.1014135	-139.0	-1.261438e-10	2427.99	2.094	2426.368650481697
1653951396.19857	-138.0	-4.405283e-10	2419.75	2.1	2418.1248808459036
1653951398.2990026	-137.0	7.166472e-10	2411.205	2.1	2409.5856197210646
1653951400.400082	-136.0	4.6581e-10	2402.66	2.1	2401.046358596226
1653951402.6251922	-135.0	2.071866e-10	2394.42	2.106	2392.8026913552085
1653951404.7336066	-134.0	-9.219933e-10	2386.18	2.106	2384.568257055141
1653951406.8400266	-133.0	-4.214503e-10	2377.94	2.112	2376.3246587487142
1653951408.98335	-132.0	-1.115815e-09	2369.7	2.118	2368.08109798321
1653951411.08202	-131.0	9.538047e-10	2361.46	2.112	2359.8558536585188
