----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	notsure
----------------------------------------------------------------------------------------------------------------------

1656460428.6010151	2.77300	0.000000	2502.765000000	-10.48	2460.999133035	40.436000000	5.14	40.273270772	0.575428400
1656460429.8091519	2.76500	0.000000	2500.630000000	-10.48	2458.899761680	40.388400000	5.24	40.219354519	-1.026815000
1656460431.6821580	2.77000	0.000000	2502.460000000	-10.48	2460.699222841	40.388400000	5.22	40.220897237	-0.170594600
1656460432.8975639	2.78100	0.000000	2511.005000000	-10.49	2469.053773346	40.464600000	5.23	40.296395469	-0.065199480
1656460434.1236501	2.76400	0.000000	2496.960000000	-10.48	2455.338563134	40.417000000	5.28	40.245505857	-0.040890300
1656460435.3822970	2.78000	0.000000	2506.125000000	-10.49	2464.255303246	40.417000000	5.23	40.248607602	1.065258000
1656460437.4378240	2.76200	0.000000	2490.855000000	-10.47	2449.382740191	40.388400000	5.20	40.222432898	-0.041261110
1656460438.6914871	2.76300	0.000000	2505.205000000	-10.48	2463.398414583	40.321600000	5.20	40.155907398	0.854684300
1656460440.4813499	2.78600	0.000000	2514.360000000	-10.49	2472.304779017	40.417000000	5.20	40.250531848	1.306692000
1656460441.6931231	2.76000	0.000000	2496.345000000	-10.48	2454.733814473	40.502800000	5.18	40.337130149	-0.542196600
1656460443.4876950	2.77200	0.000000	2505.205000000	-10.48	2463.398414583	40.331200000	5.16	40.167754965	-0.227123800
1656460444.6994669	2.77500	0.000000	2499.400000000	-10.48	2457.690287784	40.407400000	5.21	40.240587513	-0.791840700
1656460446.5322261	2.77600	0.000000	2497.570000000	-10.48	2455.938395139	40.398000000	5.29	40.226196955	0.879238300
1656460447.7812541	2.76500	0.000000	2508.870000000	-10.49	2466.954442677	40.483800000	5.23	40.315515658	-1.354003000
1656460449.5880809	2.77200	0.000000	2502.765000000	-10.48	2460.999133035	40.350200000	5.20	40.184006982	-1.142098000
1656460450.7918720	2.77300	0.000000	2500.325000000	-10.48	2458.599851486	40.331200000	5.29	40.159291722	0.910592300
1656460452.6881821	2.77000	0.000000	2499.705000000	-10.48	2457.990197978	40.378800000	5.26	40.209020878	-1.407400000
1656460453.8975990	2.76500	0.000000	2496.655000000	-10.48	2455.038647132	40.388400000	5.27	40.217804744	-1.009016000
1656460455.4634261	2.77100	0.001438	2510.395000000	-10.49	2468.406097663	40.369400000	5.25	40.200047443	-0.305201600
1656460458.5914459	2.77500	0.010066	2496.345000000	-10.48	2454.733814473	40.388400000	5.16	40.224723157	-0.437625500
1656460459.7978740	2.78100	0.012942	2496.960000000	-10.48	2455.291006236	40.483800000	5.23	40.315129288	0.810187100
1656460461.5954370	2.77600	0.020132	2498.790000000	-10.48	2457.090467397	40.607800000	5.21	40.440160209	-0.248837500
1656460462.8091991	2.77600	0.023008	2502.460000000	-10.48	2460.699222841	40.684000000	5.22	40.515271296	-0.523367600
1656460464.5974410	2.78500	0.030198	2508.565000000	-10.49	2466.654538296	40.712600000	5.13	40.549520955	-0.984749700
