----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
----------------------------------------------------------------------------------------------------------------------

1656496276.4367139	1.75000	0.000000	93.422500000	-7.73	92.573999802	1.279124000	-8.87	1.263833503
1656496281.7864470	1.75600	0.000000	95.997500000	-7.74	95.122906926	1.276740000	-9.08	1.260727043
1656496283.5826609	1.75400	0.000000	96.073500000	-7.73	95.199568967	1.298794000	-9.01	1.282782407
1656496284.6787350	1.75100	0.000000	95.997500000	-7.74	95.122906926	1.294622000	-9.21	1.277932180
1656496285.8755460	1.75200	0.000000	94.738500000	-7.75	93.874040494	1.221308000	-9.86	1.203253597
1656496286.9815960	1.75700	0.000000	99.678500000	-7.72	98.775985450	1.305352000	-9.15	1.288741933
1656496288.7342870	1.75400	0.000000	97.256500000	-7.73	96.373177893	1.395354000	-8.61	1.379628733
1656496289.7940979	1.75100	0.000000	97.237000000	-7.74	96.351114360	1.401314000	-8.88	1.384517584
1656496290.8782110	1.75100	0.000000	98.706000000	-7.74	97.806730915	1.415620000	-9.02	1.398098485
1656496291.9762840	1.74900	0.000000	98.267000000	-7.74	97.371730460	1.475224000	-9.23	1.456131672
1656496293.5833459	1.75200	0.000000	100.632500000	-7.73	99.717098098	1.506814000	-8.50	1.490278494
1656496294.9008420	1.74900	0.000000	99.621500000	-7.72	98.719501543	1.536022000	-9.39	1.515440307
1656496296.4772861	1.75400	0.000000	102.635000000	-7.73	101.701382389	1.487146000	-8.01	1.472637052
1656496297.6784561	1.75300	0.000000	99.926500000	-7.75	99.014701599	1.533636000	-9.29	1.513529328
1656496298.7775171	1.75300	0.000000	101.376000000	-7.73	100.453834862	1.532444000	-7.91	1.517870860
1656496299.8795700	1.74900	0.000000	99.583500000	-7.73	98.679043156	1.537214000	-9.55	1.515927852
1656496301.5976379	1.75200	0.000000	99.774000000	-7.74	98.865000814	1.512180000	-8.30	1.496348727
1656496303.9523571	1.75200	0.004314	100.327000000	-7.73	99.414377073	1.525888000	-8.88	1.507598416
1656496305.0155239	1.75200	0.011504	93.079000000	-7.74	92.230996159	1.410852000	-6.38	1.402103319
1656496306.7921419	1.77100	0.023008	81.864000000	-7.70	81.126231490	0.518562000	-9.95	0.510765392
1656496310.4071469	1.78500	0.047454	192.796000000	-7.86	190.984715559	3.615480000	-6.79	3.590151430
1656496313.5072451	1.78100	0.067586	287.934500000	-7.98	285.146311892	7.067360000	-6.23	7.025648914
1656496314.5883591	1.78100	0.074776	321.734000000	-8.02	318.585690317	8.472840000	-5.98	8.426795138
1656496316.1851010	1.78200	0.086280	379.145000000	-8.09	375.368111985	10.290220000	-6.08	10.232375312
1656496319.3077841	1.77500	0.106412	475.905000000	-8.21	471.022857428	13.866500000	-5.54	13.801776893
1656496322.9108150	1.77900	0.130858	588.840000000	-8.35	582.603933310	17.261580000	-5.34	17.186664203
1656496323.9883020	1.77600	0.138048	619.240000000	-8.39	612.615932021	18.470360000	-5.31	18.391095582
1656496327.1136110	1.77900	0.158180	712.440000000	-8.51	704.599751426	21.238400000	-4.94	21.159380556
