------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1655849098.9578640	9.98600	2.730360000	-10.69	2.683010463	27.303850000	-2.55	27.276813075	 28.000	 -0.182
1655849104.4056871	9.98200	5.460700000	-9.27	5.389384332	54.607500000	-2.55	54.553426347	 28.000	 0.841
1655849109.8461659	9.97700	10.921450000	-9.27	10.778818011	109.215500000	-2.52	109.109881477	 28.000	 1.117
1655849115.3774300	9.96500	27.303850000	-9.27	26.947267089	273.047500000	-2.51	272.784700937	 28.000	 -0.143
1655849121.5017321	9.95100	54.607500000	-9.27	53.894336791	546.095000000	-2.52	545.566890463	 28.000	 1.053
1655849126.7600601	9.93400	109.215500000	-9.25	107.794688801	1092.190000000	-2.52	1091.133780926	 28.000	 -0.785
1655849133.0592649	9.91700	273.047500000	-9.25	269.495358172	1208.350000000	-2.52	1207.181446618	 28.000	 -1.028
1655849136.8341849	9.90900	546.095000000	-9.25	538.990716343	1208.350000000	-2.52	1207.181446618	 28.000	 -0.677
1655849140.0482581	9.90000	1092.190000000	-9.25	1077.981432687	1208.195000000	-2.52	1207.026596513	 28.000	 0.315
1655849143.4631469	9.88800	1213.385000000	-9.25	1197.599777237	1208.195000000	-2.52	1207.026596513	 28.000	 0.759
1655849144.8125479	9.88000	1213.230000000	-9.25	1197.446793670	1208.195000000	-2.51	1207.032152824	 28.000	 -1.048
1655849147.0130460	9.87500	1213.230000000	-9.25	1197.446793670	1208.195000000	-2.52	1207.026596513	 28.000	 0.819
1655849148.2167499	9.87000	1213.080000000	-9.25	1197.298745057	1208.045000000	-2.52	1206.876741573	 28.000	 1.317
1655849149.9112921	9.86500	1213.080000000	-9.25	1197.298745057	1207.890000000	-2.52	1206.721891468	 28.000	 1.184
1655849151.1107471	9.86000	1212.925000000	-9.25	1197.145761490	1207.890000000	-2.52	1206.721891468	 28.000	 1.011
1655849152.8135660	9.85600	1212.925000000	-9.25	1197.145761490	1207.890000000	-2.52	1206.721891468	 28.000	 1.314
1655849154.0163550	9.84900	1212.925000000	-9.25	1197.145761490	1207.890000000	-2.52	1206.721891468	 28.000	 -0.979
1655849155.7208140	9.84500	1212.925000000	-9.25	1197.145761490	1207.890000000	-2.52	1206.721891468	 28.000	 -0.492
1655849156.9172571	9.83800	1212.925000000	-9.25	1197.145761490	1207.740000000	-2.51	1206.577590747	 28.000	 1.154
1655849158.6177189	9.83400	1212.775000000	-9.25	1196.997712877	1207.740000000	-2.52	1206.572036528	 28.000	 1.123
1655849159.8334770	9.82700	1212.775000000	-9.25	1196.997712877	1207.740000000	-2.51	1206.577590747	 28.000	 0.866
1655849162.0266299	9.82100	1212.775000000	-9.26	1196.977287391	1207.740000000	-2.52	1206.572036528	 28.000	 -0.504
1655849163.2188020	9.81500	1212.775000000	-9.25	1196.997712877	1207.740000000	-2.52	1206.572036528	 28.000	 -0.088
