------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1655820172.8725231	9.98600	546.095000000	-10.17	537.514861525	273.047500000	-3.41	272.562924470	 -140.000	 -0.617
1655820178.1314890	9.98400	1092.190000000	-10.17	1075.029723049	546.095000000	-3.42	545.122440453	 -140.000	 -1.429
1655820183.5779610	9.97500	1990.215000000	-10.17	1958.945128831	1092.190000000	-3.41	1090.251697881	 -140.000	 -1.480
1655820187.0191350	9.97000	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.42	1978.899421579	 -140.000	 1.288
1655820188.2106020	9.96800	1990.215000000	-10.17	1958.945128831	1982.585000000	-3.42	1979.054145535	 -140.000	 0.131
1655820189.3997869	9.96400	1990.215000000	-10.17	1958.945128831	1982.585000000	-3.42	1979.054145535	 -140.000	 1.010
1655820191.0972490	9.96200	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.42	1978.899421579	 -140.000	 1.066
1655820192.2907140	9.95700	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.41	1978.911795045	 -140.000	 -0.623
1655820194.0752859	9.95500	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.42	1978.899421579	 -140.000	 -0.312
1655820195.2817330	9.94900	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.42	1978.899421579	 -140.000	 -1.091
1655820197.0005090	9.94600	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.41	1978.911795045	 -140.000	 -0.510
1655820198.1903181	9.94200	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.42	1978.899421579	 -140.000	 -0.598
1655820199.9925261	9.93800	1990.365000000	-10.18	1959.055958866	1982.585000000	-3.41	1979.066519968	 -140.000	 0.951
1655820201.1853261	9.93400	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.42	1978.899421579	 -140.000	 -1.308
1655820202.9881740	9.93000	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.41	1978.911795045	 -140.000	 -1.240
1655820204.1833370	9.92500	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.41	1978.911795045	 -140.000	 -0.387
1655820205.9881680	9.92100	1990.215000000	-10.17	1958.945128831	1982.585000000	-3.42	1979.054145535	 -140.000	 0.315
1655820207.1833329	9.91500	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.42	1978.899421579	 -140.000	 -1.149
1655820208.9875259	9.91200	1990.215000000	-10.17	1958.945128831	1982.585000000	-3.41	1979.066519968	 -140.000	 -0.948
1655820210.1859660	9.90700	1990.215000000	-10.17	1958.945128831	1982.430000000	-3.42	1978.899421579	 -140.000	 1.296
1655820212.0852611	9.90400	1990.215000000	-10.17	1958.945128831	1982.585000000	-3.41	1979.066519968	 -140.000	 -0.701
1655820213.2817061	9.89600	1990.215000000	-10.17	1958.945128831	1982.585000000	-3.42	1979.054145535	 -140.000	 -0.980
1655820215.0852540	9.89300	1990.215000000	-10.17	1958.945128831	1982.585000000	-3.41	1979.066519968	 -140.000	 -1.422
