------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1656019460.6311531	9.99200	546.095000000	-9.90	537.963277466	0.109219000	-3.16	0.109053352	 -58.000	 -1.106
1656019465.9290190	9.98900	1092.190000000	-9.91	1075.906884837	0.218438000	-3.16	0.218106703	 -58.000	 0.794
1656019471.2358611	9.98200	1890.420000000	-9.91	1862.236326311	0.376711000	-3.16	0.376139657	 -58.000	 -0.756
1656019472.4697139	9.97900	1890.420000000	-9.91	1862.236326311	0.376680000	-3.16	0.376106530	 -58.000	 -0.221
1656019473.6683869	9.97600	1890.270000000	-9.91	1862.088562614	0.376680000	-3.16	0.376106530	 -58.000	 0.822
1656019475.3728240	9.97400	1890.270000000	-9.91	1862.088562614	0.376680000	-3.16	0.376108704	 -58.000	 -0.497
1656019476.5696321	9.96900	1890.270000000	-9.91	1862.088562614	0.376680000	-3.15	0.376110873	 -58.000	 0.584
1656019478.7707601	9.96600	1890.420000000	-9.91	1862.236326311	0.376680000	-3.16	0.376108704	 -58.000	 0.292
1656019479.9699149	9.96300	1890.270000000	-9.91	1862.088562614	0.376680000	-3.16	0.376108704	 -58.000	 1.342
1656019481.6720190	9.96100	1890.270000000	-9.91	1862.088562614	0.376680000	-3.16	0.376108704	 -58.000	 -1.132
1656019482.8761580	9.95600	1890.270000000	-9.91	1862.088562614	0.376680000	-3.16	0.376108704	 -58.000	 -1.162
1656019484.5706320	9.95200	1890.115000000	-9.91	1861.935873460	0.376680000	-3.16	0.376108704	 -58.000	 0.792
1656019485.7734230	9.94900	1890.270000000	-9.91	1862.088562614	0.376680000	-3.16	0.376108704	 -58.000	 -0.163
1656019487.4709029	9.94700	1890.115000000	-9.91	1861.935873460	0.376680000	-3.16	0.376108704	 -58.000	 -0.782
1656019488.6756890	9.94200	1890.115000000	-9.91	1861.935873460	0.376650000	-3.16	0.376078749	 -58.000	 -0.268
1656019490.3817821	9.93800	1890.115000000	-9.91	1861.935873460	0.376650000	-3.16	0.376078749	 -58.000	 1.136
1656019491.5746000	9.93300	1890.115000000	-9.90	1861.969914005	0.376650000	-3.16	0.376078749	 -58.000	 -0.917
1656019493.7750721	9.92900	1890.115000000	-9.90	1861.969914005	0.376650000	-3.16	0.376078749	 -58.000	 -1.055
1656019494.9745319	9.92400	1890.115000000	-9.91	1861.935873460	0.376650000	-3.16	0.376078749	 -58.000	 -0.354
1656019496.6739969	9.92000	1890.115000000	-9.90	1861.969914005	0.376650000	-3.16	0.376078749	 -58.000	 0.095
1656019497.8777859	9.91500	1889.965000000	-9.90	1861.822147606	0.376650000	-3.16	0.376078749	 -58.000	 -0.492
1656019499.5772491	9.91100	1889.965000000	-9.91	1861.788109762	0.376650000	-3.16	0.376078749	 -58.000	 0.613
1656019500.7740581	9.90700	1889.965000000	-9.90	1861.822147606	0.376650000	-3.16	0.376078749	 -58.000	 -0.988
