------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1656038932.3055921	9.99100	5.460700000	-9.19	5.390668171	0.010921500	-2.48	0.010911287	 70.000	 -0.091
1656038937.6117940	9.99000	10.921450000	-9.19	10.781385701	0.021843100	-2.44	0.021823264	 70.000	 1.017
1656038942.9142950	9.98100	27.303850000	-9.19	26.953686368	0.054609500	-2.45	0.054559663	 70.000	 1.357
1656038948.7111909	9.96900	54.607500000	-9.19	53.907175301	0.109219000	-2.44	0.109119814	 70.000	 1.228
1656038954.5097280	9.95600	109.215500000	-9.17	107.820316286	0.218438000	-2.45	0.218238653	 70.000	 0.201
1656038960.3079100	9.94400	273.047500000	-9.16	269.563983253	0.240663000	-2.44	0.240444446	 70.000	 -0.977
1656038963.5974901	9.93300	546.095000000	-9.16	539.127966506	0.240663000	-2.44	0.240444446	 70.000	 -0.319
1656038967.3155761	9.92300	1092.190000000	-9.16	1078.255933013	0.240632000	-2.44	0.240413474	 70.000	 1.339
1656038970.5888410	9.91400	1207.890000000	-9.17	1192.459695183	0.240602000	-2.44	0.240384573	 70.000	 1.065
1656038971.7816660	9.91000	1207.740000000	-9.16	1192.331755955	0.240602000	-2.45	0.240382426	 70.000	 -0.486
1656038973.1799431	9.90500	1207.740000000	-9.17	1192.311611373	0.240602000	-2.44	0.240383501	 70.000	 -0.442
1656038974.3697619	9.90200	1207.740000000	-9.17	1192.311611373	0.240602000	-2.44	0.240383501	 70.000	 -0.862
1656038975.5642221	9.89600	1207.740000000	-9.16	1192.331755955	0.240571000	-2.45	0.240351454	 70.000	 0.169
1656038977.2616949	9.89300	1207.585000000	-9.16	1192.178733432	0.240571000	-2.44	0.240352529	 70.000	 -0.953
1656038978.4625680	9.88600	1207.585000000	-9.16	1192.178733432	0.240571000	-2.43	0.240354671	 70.000	 -0.243
1656038980.6606300	9.88100	1207.585000000	-9.16	1192.178733432	0.240571000	-2.44	0.240352529	 70.000	 1.379
1656038982.0648830	9.87600	1207.585000000	-9.16	1192.178733432	0.240571000	-2.44	0.240352529	 70.000	 -0.957
1656038983.2606950	9.87200	1207.585000000	-9.16	1192.178733432	0.240541000	-2.44	0.240322556	 70.000	 -0.927
1656038984.4638391	9.86400	1207.435000000	-9.16	1192.030647119	0.240541000	-2.44	0.240323628	 70.000	 -0.335
1656038986.6639831	9.86000	1207.435000000	-9.16	1192.030647119	0.240541000	-2.44	0.240323628	 70.000	 -0.253
1656038988.0183520	9.85400	1207.435000000	-9.16	1192.030647119	0.240541000	-2.44	0.240322556	 70.000	 1.397
1656038989.7633531	9.84900	1207.280000000	-9.16	1191.877624596	0.240510000	-2.44	0.240291585	 70.000	 0.724
1656038991.2098451	9.84400	1207.280000000	-9.17	1191.857487686	0.240479000	-2.44	0.240260613	 70.000	 1.006
1656038992.4585199	9.83900	1207.280000000	-9.16	1191.877624596	0.240479000	-2.44	0.240261684	 70.000	 1.257
