-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin1 (V/A) 	 pLkin1 (deg.) 	 XLkin1 (Ohm) 	 RLkin2 (V/A) 	 pLkin2 (deg.) 	 XLkin2 (Ohm)
-----------------------------------------------------------------------------------

1700557738.3176546	0.0	4.141919e-12	11271.5	6.828	11191.557184315352	530.7225	5.31	528.444936929889
1700557739.5114632	0.2	2.713382e-11	11232.4	6.846	11152.314417887977	523.8075	5.352	521.5239377519487
1700557740.7488086	0.4	4.386254e-11	11155.2	6.858	11075.38610681357	512.27	5.376	510.0166765471555
1700557741.9409907	0.6000000000000001	5.605844e-11	11090.300000000001	6.84	11011.365949460605	503.6375	5.4	501.4023389477837
1700557743.13979	0.8	5.733566e-11	11050.300000000001	6.858	10971.236651617362	499.34749999999997	5.406	497.12645432444214
1700557744.355558	1.0	6.483453e-11	11025.5	6.876	10946.199947213918	497.01	5.412	494.79444510854853
1700557745.5550034	1.2000000000000002	7.497017e-11	11005.5	6.888	10926.067600768343	495.34250000000003	5.43	493.1196768528712
1700557746.7591355	1.4000000000000001	7.377542e-11	10977.8	6.864	10899.118047415483	493.91	5.448	491.6788975258235
1700557747.9818897	1.6	8.176869e-11	10957.8	6.84	10879.809004355104	492.57499999999993	5.424	490.3694743876341
1700557749.2092626	1.8	8.419956e-11	10941.599999999999	6.846	10863.587784869045	491.6225	5.424	489.42123924708864
1700557750.403084	2.0	8.902021e-11	10930.1	6.852	10852.033281594311	490.525	5.43	488.3237951281277
1700557751.6421351	2.2	9.062711e-11	10913.900000000001	6.852	10835.9489878402	489.52500000000003	5.442	487.3185699066161
1700557752.8415887	2.4000000000000004	9.759033e-11	10897.699999999999	6.864	10819.592153739337	488.76	5.448	486.55216123326414
1700557754.0613358	2.6	1.026581e-10	10882.4	6.87	10804.265557917108	487.95	5.46	485.73610680556567
1700557755.254512	2.8000000000000003	1.078497e-10	10875.8	6.876	10797.576652841968	487.18750000000006	5.466	484.9722092900501
1700557756.4529626	3.0	1.07726e-10	10862.4	6.882	10784.136788610293	486.5675	5.442	484.3744002104845
1700557757.6561122	3.2	1.138241e-10	10850.0	6.894	10771.553601472058	485.9	5.43	483.71954956986343
1700557758.8545628	3.4000000000000004	1.160077e-10	10844.3	6.894	10765.894812944096	485.28	5.436	483.0975202141444
1700557760.0537422	3.6	1.208696e-10	10831.9	6.906	10753.31192019538	484.70750000000004	5.442	482.52278376591823
1700557761.264143	3.8000000000000003	1.200869e-10	10825.2	6.906	10746.660530331616	484.13500000000005	5.448	481.9480533977133
1700557762.4579587	4.0	1.259374e-10	10822.4	6.906	10743.880845015416	483.61	5.454	481.42061408763607
1700557763.6521409	4.2	1.26473e-10	10807.1	6.852	10729.911791979752	483.08750000000003	5.46	480.8956686062788
1700557764.8529332	4.4	1.320765e-10	10803.3	6.84	10726.408641949067	482.60999999999996	5.466	480.41552364432795
1700557766.066354	4.6000000000000005	1.402757e-10	10790.900000000001	6.846	10713.962256684892	482.18	5.466	479.9874788977064
1700557767.3113837	4.800000000000001	1.41306e-10	10787.1	6.852	10710.054639196896	481.705	5.472	479.5098310925476
