----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
----------------------------------------------------------------------------------------------------------------------

1701278367.7734480	4.99100	-0.000000	984.960000000	8.51	974.120727591	19.054500000	-54.53	11.055797181	0.022642110
1701278371.0297530	4.98900	-0.000000	984.960000000	8.51	974.120727591	19.064000000	-54.52	11.064560965	0.018686410
1701278374.2597821	4.99700	-0.000000	984.960000000	8.51	974.120727591	19.002000000	-54.57	11.015609380	0.018521590
1701278375.5068171	4.99600	-0.000000	984.807500000	8.51	973.969905821	19.011600000	-54.49	11.043873884	0.021076310
1701278376.7311931	4.99200	-0.000000	984.960000000	8.51	974.120727591	19.030600000	-54.50	11.051666474	0.016090470
1701278377.9323449	4.99100	-0.000000	984.960000000	8.51	974.120727591	19.045000000	-54.46	11.071391384	0.020004950
1701278379.6464190	4.98900	-0.000000	984.807500000	8.51	973.969905821	19.030600000	-54.61	11.020819133	0.018768800
1701278380.8994350	4.98900	-0.000000	984.807500000	8.51	973.969905821	19.049700000	-54.61	11.033506406	0.019386910
1701278382.6324580	5.00000	-0.000000	984.960000000	8.51	974.120727591	19.035400000	-54.64	11.017097484	0.019345690
1701278383.8442271	4.99200	-0.000000	984.960000000	8.51	974.120727591	19.035400000	-54.67	11.008968040	0.021405950
1701278385.5486839	4.99500	-0.000000	984.960000000	8.51	974.120727591	19.045000000	-54.66	11.016147072	0.026474180
1701278386.7993500	4.98900	-0.000000	984.960000000	8.51	974.120727591	19.045000000	-54.67	11.014520122	0.025567670
1701278388.5320940	4.99000	-0.000000	984.655000000	8.51	973.803823425	19.002000000	-54.70	10.979909232	0.022065210
1701278389.7378719	5.00200	-0.000000	984.807500000	8.51	973.969905821	19.006800000	-54.78	10.961554529	0.020293400
1701278391.4549379	4.99400	-0.000000	984.960000000	8.51	974.120727591	19.011600000	-54.80	10.959442897	0.022394880
1701278392.7039700	4.99700	-0.000000	984.807500000	8.51	973.969905821	18.978200000	-54.73	10.958045267	0.020581810
1701278394.4433329	4.99300	-0.000000	984.807500000	8.51	973.969905821	19.002000000	-54.65	10.994520892	0.019180830
1701278395.7056069	4.99800	-0.000000	984.960000000	8.51	974.120727591	19.021100000	-54.62	11.013693641	0.025979710
1701278397.4379900	4.99500	-0.000000	984.960000000	8.51	974.120727591	19.021100000	-54.61	11.015317584	0.024001870
1701278398.6441350	4.99600	-0.000000	984.655000000	8.51	973.803823425	19.002000000	-54.57	11.015609380	0.026268140
1701278400.4020879	4.99000	0.002876	984.807500000	8.51	973.969905821	19.011600000	-54.50	11.040632578	0.018150760
1701278401.6102231	5.00100	0.008628	984.807500000	8.51	973.969905821	19.054500000	-54.54	11.054171961	0.024908390
1701278403.3203089	5.00100	0.017256	984.960000000	8.51	974.120727591	18.992500000	-54.61	10.998755025	0.018810020
1701278404.5314331	5.00100	0.023008	984.960000000	8.51	974.120727591	18.944800000	-54.78	10.925798043	0.021323510
1701278406.2488551	4.99400	0.031636	984.960000000	8.51	974.120727591	18.954400000	-55.03	10.864750368	0.019592870
