------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1700217039.6991639	8.00800	17258.800000000	6.35	17152.780777145	1449.115000000	-1.84	1448.371063645	 -1.000	 -0.010
1700217040.8916290	8.00100	17258.800000000	6.35	17152.780777145	1449.017500000	-1.83	1448.278467344	 -1.000	 -0.007
1700217042.0947800	8.00300	17258.800000000	6.35	17152.780777145	1449.115000000	-1.83	1448.375917616	 -1.000	 -0.003
1700217043.2942269	8.00100	17258.800000000	6.35	17152.780777145	1449.017500000	-1.82	1448.288126987	 -1.000	 -0.004
1700217045.4913690	7.99600	17258.800000000	6.35	17152.780777145	1449.017500000	-1.83	1448.278467344	 -1.000	 -0.008
1700217046.6911750	7.98800	17258.800000000	6.35	17152.780777145	1449.017500000	-1.84	1448.273613699	 -1.000	 -0.006
1700217048.3916450	7.98800	17258.800000000	6.35	17152.780777145	1449.017500000	-1.84	1448.273613699	 -1.000	 -0.008
1700217049.5977790	7.98200	17258.800000000	6.35	17152.780777145	1448.637500000	-1.83	1447.898661153	 -1.000	 -0.009
1700217051.2962539	7.97800	17258.800000000	6.35	17152.780777145	1448.637500000	-1.82	1447.903497647	 -1.000	 -0.008
1700217052.5006909	7.96700	17258.800000000	6.35	17152.780777145	1448.542500000	-1.82	1447.813366082	 -1.000	 -0.008
1700217054.1951780	7.96500	17258.800000000	6.35	17152.780777145	1448.542500000	-1.82	1447.813366082	 -1.000	 -0.006
1700217055.3949790	7.96000	17258.800000000	6.35	17152.780777145	1448.542500000	-1.82	1447.808545782	 -1.000	 -0.008
1700217057.1017220	7.95300	17258.800000000	6.35	17152.780777145	1448.447500000	-1.82	1447.718413900	 -1.000	 -0.004
1700217058.2992389	7.94300	17258.800000000	6.35	17152.780777145	1448.160000000	-1.83	1447.421404689	 -1.000	 -0.004
1700217060.5007319	7.93400	17258.800000000	6.35	17152.780777145	1448.160000000	-1.83	1447.421404689	 -1.000	 -0.006
1700217061.6961889	7.93000	17258.800000000	6.35	17152.780777145	1448.160000000	-1.82	1447.431058616	 -1.000	 -0.003
1700217063.3986509	7.92500	17246.400000000	6.36	17140.256979018	1448.160000000	-1.82	1447.431058616	 -1.000	 -0.003
1700217064.6027801	7.91000	17243.500000000	6.36	17137.374827076	1447.875000000	-1.82	1447.146202072	 -1.000	 -0.003
1700217066.3022780	7.90700	17243.500000000	6.36	17137.374827076	1447.780000000	-1.82	1447.046432129	 -1.000	 -0.008
1700217067.5007191	7.89900	17240.600000000	6.36	17134.492675135	1447.780000000	-1.82	1447.051249891	 -1.000	 -0.005
1700217069.2065339	7.89200	17240.600000000	6.36	17134.492675135	1447.780000000	-1.82	1447.051249891	 -1.000	 -0.007
1700217070.4069710	7.87600	17240.600000000	6.36	17134.492675135	1447.682500000	-1.82	1446.953798968	 -1.000	 -0.009
1700217072.6114500	7.87300	17240.600000000	6.36	17134.492675135	1447.682500000	-1.82	1446.953798968	 -1.000	 -0.003
