------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1700221306.2006011	8.00300	15431.500000000	6.50	15332.182097204	136.519250000	2.72	136.364990814	 2.000	 0.013
1700221309.4359860	8.00200	15431.500000000	6.50	15332.182097204	273.037500000	2.72	272.730340114	 2.000	 0.008
1700221312.6587520	7.99800	15431.500000000	6.50	15332.182097204	546.077500000	2.71	545.465886157	 2.000	 0.008
1700221315.8698320	7.98200	15431.500000000	6.50	15332.182097204	1177.365000000	2.72	1176.040495859	 2.000	 0.008
1700221319.6447721	7.97700	15431.500000000	6.50	15332.182097204	1177.317500000	2.71	1175.998889215	 2.000	 0.010
1700221320.8309641	7.96700	15431.500000000	6.50	15332.182097204	1177.317500000	2.72	1175.993049295	 2.000	 0.007
1700221322.0194390	7.95800	15427.600000000	6.50	15328.307197799	1177.030000000	2.72	1175.705872725	 2.000	 0.005
1700221323.7258930	7.95600	15429.600000000	6.50	15330.294325699	1177.222500000	2.71	1175.903995616	 2.000	 0.009
1700221324.9250491	7.94800	15414.300000000	6.51	15314.909870762	1177.125000000	2.72	1175.800765853	 2.000	 0.011
1700221326.6275101	7.94200	15420.000000000	6.51	15320.573117635	1176.935000000	2.72	1175.610979597	 2.000	 0.012
1700221327.8273151	7.93400	15414.300000000	6.51	15314.909870762	1176.935000000	2.71	1175.616817620	 2.000	 0.011
1700221330.0294421	7.92500	15414.300000000	6.51	15314.909870762	1176.935000000	2.72	1175.610979597	 2.000	 0.007
1700221331.2368751	7.92100	15414.300000000	6.51	15314.909870762	1176.935000000	2.72	1175.610979597	 2.000	 0.007
1700221332.9357080	7.90900	15414.300000000	6.51	15314.909870762	1176.840000000	2.72	1175.516086470	 2.000	 0.008
1700221334.1261730	7.89800	15414.300000000	6.51	15314.909870762	1176.745000000	2.72	1175.421193342	 2.000	 0.013
1700221335.8249991	7.89500	15414.300000000	6.51	15314.909870762	1176.555000000	2.72	1175.231407087	 2.000	 0.012
1700221337.0297861	7.88600	15414.300000000	6.51	15314.909870762	1176.457500000	2.72	1175.134016772	 2.000	 0.009
1700221338.7299011	7.87700	15414.300000000	6.51	15314.909870762	1176.457500000	2.72	1175.134016772	 2.000	 0.008
1700221339.9280641	7.87000	15414.300000000	6.51	15314.909870762	1176.457500000	2.72	1175.134016772	 2.000	 0.011
1700221341.6295230	7.86300	15413.300000000	6.51	15313.916318679	1176.457500000	2.72	1175.134016772	 2.000	 0.012
1700221342.8293331	7.85200	15414.300000000	6.51	15314.909870762	1176.362500000	2.72	1175.039123645	 2.000	 0.010
1700221345.0284810	7.84000	15414.300000000	6.51	15314.909870762	1176.077500000	2.72	1174.748597610	 2.000	 0.013
1700221346.2302530	7.82800	15414.300000000	6.51	15314.909870762	1175.982500000	2.72	1174.653704955	 2.000	 0.006
1700221347.9277489	7.82100	15414.300000000	6.51	15314.909870762	1175.982500000	2.72	1174.653704955	 2.000	 0.009
