T [K]	T [K]	T_avg [K]	T_err [K]	A_I [A]	A_I [A]	A_V [V]	A_V [V]	A_R [ohm]	B_I [A]	B_I [A]	B_V [V]	B_V [V]	B_R [ohm]	A_Vg [V]	A_Ileak [A]	B_Vg [V]	B_Ileak [A]	B [T]	B1 [T]	B2 [T]	Time	Day
4.9995E+0	5.0096E+0	5.0046E+0	-5.0500E-3	10.0000E-6	-10.0000E-6	888.3787E-6	-870.2485E-6	87.9314E+0	10.0000E-6	-10.0000E-6	-1.3626E-3	1.3176E-3	-134.0110E+0	100.0000E+0	10.2481E-9	150.0000E+0	4.0118E-9	12.0002E+0	12.0003E+0	12.0001E+0	16:09:26	14/03/2023
4.9371E+0	5.0259E+0	4.9815E+0	-44.4000E-3	10.0000E-6	-10.0000E-6	889.7934E-6	-881.8219E-6	88.5808E+0	10.0000E-6	-10.0000E-6	-1.3187E-3	1.3153E-3	-131.6997E+0	150.0000E+0	265.9467E-12	150.0000E+0	-544.4037E-12	11.9999E+0	12.0000E+0	11.9998E+0	17:09:28	14/03/2023
4.9699E+0	5.0007E+0	4.9853E+0	-15.4000E-3	10.0000E-6	-10.0000E-6	889.8013E-6	-880.7968E-6	88.5299E+0	10.0000E-6	-10.0000E-6	-1.3187E-3	1.3148E-3	-131.6719E+0	150.0000E+0	202.2366E-12	150.0000E+0	2.1248E-9	11.9948E+0	11.9968E+0	11.9928E+0	17:09:31	14/03/2023
5.0064E+0	5.0116E+0	5.0090E+0	-2.6000E-3	10.0000E-6	-10.0000E-6	889.2642E-6	-879.9306E-6	88.4597E+0	10.0000E-6	-10.0000E-6	-1.3172E-3	1.3136E-3	-131.5406E+0	150.0000E+0	818.9783E-12	150.0000E+0	2.0341E-9	11.9838E+0	11.9865E+0	11.9812E+0	17:09:34	14/03/2023
4.9770E+0	4.9807E+0	4.9788E+0	-1.8500E-3	10.0000E-6	-10.0000E-6	887.9329E-6	-878.4766E-6	88.3205E+0	10.0000E-6	-10.0000E-6	-1.3159E-3	1.3123E-3	-131.4138E+0	150.0000E+0	2.4794E-9	150.0000E+0	426.6213E-12	11.9692E+0	11.9717E+0	11.9667E+0	17:09:38	14/03/2023
4.9878E+0	4.9844E+0	4.9861E+0	1.7000E-3	10.0000E-6	-10.0000E-6	887.5513E-6	-877.3932E-6	88.2472E+0	10.0000E-6	-10.0000E-6	-1.3139E-3	1.3101E-3	-131.2028E+0	150.0000E+0	3.1048E-9	150.0000E+0	1.3146E-9	11.9530E+0	11.9569E+0	11.9490E+0	17:09:41	14/03/2023
5.0108E+0	5.0424E+0	5.0266E+0	-15.8000E-3	10.0000E-6	-10.0000E-6	886.6029E-6	-876.5071E-6	88.1555E+0	10.0000E-6	-10.0000E-6	-1.3125E-3	1.3084E-3	-131.0408E+0	150.0000E+0	2.7489E-9	150.0000E+0	178.5349E-12	11.9378E+0	11.9413E+0	11.9342E+0	17:09:44	14/03/2023
4.9496E+0	4.9715E+0	4.9605E+0	-10.9500E-3	10.0000E-6	-10.0000E-6	885.3814E-6	-875.2091E-6	88.0295E+0	10.0000E-6	-10.0000E-6	-1.3106E-3	1.3068E-3	-130.8669E+0	150.0000E+0	-299.8559E-12	150.0000E+0	2.2051E-9	11.9219E+0	11.9254E+0	11.9184E+0	17:09:48	14/03/2023
5.0089E+0	5.0331E+0	5.0210E+0	-12.1000E-3	10.0000E-6	-10.0000E-6	883.1680E-6	-873.7959E-6	87.8482E+0	10.0000E-6	-10.0000E-6	-1.3087E-3	1.3050E-3	-130.6817E+0	150.0000E+0	1.2722E-9	150.0000E+0	207.1684E-12	11.9062E+0	11.9114E+0	11.9009E+0	17:09:51	14/03/2023
4.9867E+0	4.9850E+0	4.9859E+0	850.0000E-6	10.0000E-6	-10.0000E-6	882.5343E-6	-872.7360E-6	87.7635E+0	10.0000E-6	-10.0000E-6	-1.3068E-3	1.3034E-3	-130.5104E+0	150.0000E+0	1.1225E-9	150.0000E+0	-580.8853E-12	11.8902E+0	11.8937E+0	11.8867E+0	17:09:55	14/03/2023
5.0078E+0	4.9341E+0	4.9710E+0	36.8500E-3	10.0000E-6	-10.0000E-6	881.4174E-6	-871.0174E-6	87.6217E+0	10.0000E-6	-10.0000E-6	-1.3051E-3	1.3013E-3	-130.3201E+0	150.0000E+0	3.4889E-9	150.0000E+0	1.0127E-9	11.8721E+0	11.8757E+0	11.8685E+0	17:09:58	14/03/2023
4.9947E+0	5.0286E+0	5.0116E+0	-16.9500E-3	10.0000E-6	-10.0000E-6	880.4910E-6	-869.4645E-6	87.4978E+0	10.0000E-6	-10.0000E-6	-1.3036E-3	1.2995E-3	-130.1598E+0	150.0000E+0	699.4292E-12	150.0000E+0	-441.4060E-12	11.8555E+0	11.8594E+0	11.8516E+0	17:10:01	14/03/2023
5.0164E+0	4.9760E+0	4.9962E+0	20.2000E-3	10.0000E-6	-10.0000E-6	878.7607E-6	-868.8917E-6	87.3826E+0	10.0000E-6	-10.0000E-6	-1.3015E-3	1.2980E-3	-129.9728E+0	150.0000E+0	-367.0677E-12	150.0000E+0	212.8374E-12	11.8415E+0	11.8451E+0	11.8378E+0	17:10:05	14/03/2023
5.0221E+0	5.0026E+0	5.0123E+0	9.7500E-3	10.0000E-6	-10.0000E-6	876.4524E-6	-867.3512E-6	87.1902E+0	10.0000E-6	-10.0000E-6	-1.2997E-3	1.2959E-3	-129.7813E+0	150.0000E+0	293.2686E-12	150.0000E+0	-833.2242E-12	11.8241E+0	11.8282E+0	11.8199E+0	17:10:08	14/03/2023
4.9816E+0	5.0173E+0	4.9994E+0	-17.8500E-3	10.0000E-6	-10.0000E-6	875.5528E-6	-865.5280E-6	87.0540E+0	10.0000E-6	-10.0000E-6	-1.2976E-3	1.2944E-3	-129.6037E+0	150.0000E+0	1.5135E-9	150.0000E+0	-594.6905E-12	11.8075E+0	11.8111E+0	11.8040E+0	17:10:11	14/03/2023
5.0042E+0	5.0318E+0	5.0180E+0	-13.8000E-3	10.0000E-6	-10.0000E-6	874.6371E-6	-864.4641E-6	86.9551E+0	10.0000E-6	-10.0000E-6	-1.2956E-3	1.2926E-3	-129.4055E+0	150.0000E+0	-401.6012E-12	150.0000E+0	-392.5160E-12	11.7929E+0	11.7967E+0	11.7892E+0	17:10:14	14/03/2023
