T [K]	T [K]	T_avg [K]	T_err [K]	A_I [A]	A_I [A]	A_V [V]	A_V [V]	A_R [ohm]	B_I [A]	B_I [A]	B_V [V]	B_V [V]	B_R [ohm]	A_Vg [V]	A_Ileak [A]	B_Vg [V]	B_Ileak [A]	B [T]	B1 [T]	B2 [T]	Time	Day
10.0095E+0	9.9452E+0	9.9773E+0	32.1500E-3	1.0000E-6	-1.0000E-6	5.2531E-3	-4.4425E-3	4.8478E+3	1.0000E-6	-1.0000E-6	4.7549E-3	-4.0592E-3	4.4071E+3	50.0000E+0	5.9587E-9	50.0000E+0	3.3398E-9	16.2461E-6	10.8307E-6	21.6614E-6	00:22:22	12/03/2023
9.9481E+0	9.9703E+0	9.9592E+0	-11.1000E-3	1.0000E-6	-1.0000E-6	4.3276E-3	-4.3249E-3	4.3263E+3	1.0000E-6	-1.0000E-6	3.9945E-3	-4.0001E-3	3.9973E+3	50.0000E+0	-1.2756E-9	50.0000E+0	1.1008E-9	0.0000E+0	10.8307E-6	-10.8307E-6	01:22:23	12/03/2023
10.0573E+0	10.0425E+0	10.0499E+0	7.4000E-3	1.0000E-6	-1.0000E-6	4.3286E-3	-4.3245E-3	4.3266E+3	1.0000E-6	-1.0000E-6	3.9956E-3	-3.9991E-3	3.9973E+3	50.0000E+0	1.8289E-9	50.0000E+0	-1.1671E-9	0.0000E+0	0.0000E+0	-0.0000E+0	01:22:27	12/03/2023
9.9806E+0	9.9840E+0	9.9823E+0	-1.7000E-3	1.0000E-6	-1.0000E-6	4.3266E-3	-4.3256E-3	4.3261E+3	1.0000E-6	-1.0000E-6	3.9947E-3	-3.9996E-3	3.9972E+3	50.0000E+0	1.9240E-9	50.0000E+0	-1.1742E-9	0.0000E+0	0.0000E+0	0.0000E+0	01:22:30	12/03/2023
10.0135E+0	10.0149E+0	10.0142E+0	-700.0000E-6	1.0000E-6	-1.0000E-6	4.3273E-3	-4.3253E-3	4.3263E+3	1.0000E-6	-1.0000E-6	3.9956E-3	-4.0002E-3	3.9979E+3	50.0000E+0	-45.1037E-12	50.0000E+0	1.5985E-9	21.6614E-6	32.4921E-6	10.8307E-6	01:22:33	12/03/2023
10.0486E+0	10.0477E+0	10.0481E+0	450.0000E-6	1.0000E-6	-1.0000E-6	4.3276E-3	-4.3254E-3	4.3265E+3	1.0000E-6	-1.0000E-6	3.9961E-3	-3.9995E-3	3.9978E+3	50.0000E+0	-684.0227E-12	50.0000E+0	442.2860E-12	16.2461E-6	21.6614E-6	10.8307E-6	01:22:36	12/03/2023
9.9989E+0	9.9648E+0	9.9819E+0	17.0500E-3	1.0000E-6	-1.0000E-6	4.3271E-3	-4.3242E-3	4.3257E+3	1.0000E-6	-1.0000E-6	3.9944E-3	-3.9986E-3	3.9965E+3	50.0000E+0	1.7445E-9	50.0000E+0	-394.6619E-12	43.3229E-6	43.3229E-6	43.3229E-6	01:22:40	12/03/2023
9.9622E+0	9.9876E+0	9.9749E+0	-12.7000E-3	1.0000E-6	-1.0000E-6	4.3265E-3	-4.3244E-3	4.3255E+3	1.0000E-6	-1.0000E-6	3.9949E-3	-3.9986E-3	3.9967E+3	50.0000E+0	1.9031E-9	50.0000E+0	-1.2800E-9	10.8307E-6	10.8307E-6	10.8307E-6	01:22:43	12/03/2023
9.9659E+0	9.9576E+0	9.9617E+0	4.1500E-3	1.0000E-6	-1.0000E-6	4.3267E-3	-4.3242E-3	4.3254E+3	1.0000E-6	-1.0000E-6	3.9940E-3	-3.9985E-3	3.9962E+3	50.0000E+0	2.2056E-9	50.0000E+0	-1.3573E-9	-5.4154E-6	-10.8307E-6	-0.0000E+0	01:22:46	12/03/2023
9.9821E+0	9.9675E+0	9.9748E+0	7.3000E-3	1.0000E-6	-1.0000E-6	4.3264E-3	-4.3232E-3	4.3248E+3	1.0000E-6	-1.0000E-6	3.9936E-3	-3.9983E-3	3.9960E+3	50.0000E+0	-1.0294E-9	50.0000E+0	-487.7200E-12	5.4154E-6	-0.0000E+0	10.8307E-6	01:22:49	12/03/2023
