T [K]	T [K]	T_avg [K]	T_err [K]	A_I [A]	A_I [A]	A_V [V]	A_V [V]	A_R [ohm]	B_I [A]	B_I [A]	B_V [V]	B_V [V]	B_R [ohm]	A_Vg [V]	A_Ileak [A]	B_Vg [V]	B_Ileak [A]	B [T]	B1 [T]	B2 [T]	Time	Day
9.9659E+0	9.9962E+0	9.9810E+0	-15.1500E-3	1.0000E-6	-1.0000E-6	4.7264E-3	-5.3981E-3	5.0622E+3	1.0000E-6	-1.0000E-6	14.1680E-3	-9.7380E-3	11.9530E+3	-200.0000E+0	-2.8339E-9	-200.0000E+0	-678.1383E-12	0.0000E+0	-10.8307E-6	10.8307E-6	18:16:20	03/03/2023
9.9809E+0	9.9946E+0	9.9878E+0	-6.8500E-3	1.0000E-6	-1.0000E-6	4.2777E-3	-4.2665E-3	4.2721E+3	1.0000E-6	-1.0000E-6	9.6598E-3	-9.6719E-3	9.6658E+3	-150.0000E+0	1.0800E-9	-150.0000E+0	-1.8422E-9	0.0000E+0	-10.8307E-6	10.8307E-6	19:16:23	03/03/2023
10.0347E+0	9.9248E+0	9.9797E+0	54.9500E-3	1.0000E-6	-1.0000E-6	4.2778E-3	-4.2663E-3	4.2720E+3	1.0000E-6	-1.0000E-6	9.6616E-3	-9.6729E-3	9.6673E+3	-150.0000E+0	-1.5548E-9	-150.0000E+0	-1.9481E-9	10.8307E-6	0.0000E+0	21.6614E-6	19:16:28	03/03/2023
10.0244E+0	9.9792E+0	10.0018E+0	22.6000E-3	1.0000E-6	-1.0000E-6	4.2786E-3	-4.2662E-3	4.2724E+3	1.0000E-6	-1.0000E-6	9.6603E-3	-9.6745E-3	9.6674E+3	-150.0000E+0	-1.5233E-9	-150.0000E+0	-959.5261E-12	54.1536E-6	64.9843E-6	43.3229E-6	19:16:34	03/03/2023
9.9827E+0	10.0122E+0	9.9975E+0	-14.7500E-3	1.0000E-6	-1.0000E-6	4.2776E-3	-4.2662E-3	4.2719E+3	1.0000E-6	-1.0000E-6	9.6593E-3	-9.6728E-3	9.6660E+3	-150.0000E+0	-1.6950E-9	-150.0000E+0	447.7418E-12	37.9075E-6	21.6614E-6	54.1536E-6	19:16:39	03/03/2023
10.0104E+0	9.9848E+0	9.9976E+0	12.8000E-3	1.0000E-6	-1.0000E-6	4.2786E-3	-4.2668E-3	4.2727E+3	1.0000E-6	-1.0000E-6	9.6596E-3	-9.6759E-3	9.6678E+3	-150.0000E+0	1.4398E-9	-150.0000E+0	-1.6853E-9	10.8307E-6	21.6614E-6	-0.0000E+0	19:16:45	03/03/2023
9.9580E+0	9.9912E+0	9.9746E+0	-16.6000E-3	1.0000E-6	-1.0000E-6	4.2782E-3	-4.2663E-3	4.2723E+3	1.0000E-6	-1.0000E-6	9.6602E-3	-9.6750E-3	9.6676E+3	-150.0000E+0	-867.0629E-12	-150.0000E+0	-1.5954E-9	10.8307E-6	0.0000E+0	21.6614E-6	19:16:50	03/03/2023
9.9706E+0	10.0039E+0	9.9872E+0	-16.6500E-3	1.0000E-6	-1.0000E-6	4.2783E-3	-4.2660E-3	4.2722E+3	1.0000E-6	-1.0000E-6	9.6598E-3	-9.6774E-3	9.6686E+3	-150.0000E+0	-3.1936E-9	-150.0000E+0	612.6825E-12	0.0000E+0	10.8307E-6	-10.8307E-6	19:16:56	03/03/2023
9.9181E+0	9.9402E+0	9.9291E+0	-11.0500E-3	1.0000E-6	-1.0000E-6	4.2783E-3	-4.2672E-3	4.2727E+3	1.0000E-6	-1.0000E-6	9.6623E-3	-9.6744E-3	9.6683E+3	-150.0000E+0	127.5245E-12	-150.0000E+0	172.0876E-12	0.0000E+0	0.0000E+0	0.0000E+0	19:17:01	03/03/2023
10.0011E+0	9.9598E+0	9.9804E+0	20.6500E-3	1.0000E-6	-1.0000E-6	4.2786E-3	-4.2662E-3	4.2724E+3	1.0000E-6	-1.0000E-6	9.6607E-3	-9.6745E-3	9.6676E+3	-150.0000E+0	1.3790E-9	-150.0000E+0	-73.9096E-12	5.4154E-6	-10.8307E-6	21.6614E-6	19:17:07	03/03/2023
9.9839E+0	9.9526E+0	9.9683E+0	15.6500E-3	1.0000E-6	-1.0000E-6	4.2782E-3	-4.2660E-3	4.2721E+3	1.0000E-6	-1.0000E-6	9.6614E-3	-9.6756E-3	9.6685E+3	-150.0000E+0	-1.8002E-9	-150.0000E+0	-1.5121E-9	10.8307E-6	21.6614E-6	0.0000E+0	19:17:12	03/03/2023
9.9528E+0	10.0031E+0	9.9779E+0	-25.1500E-3	1.0000E-6	-1.0000E-6	4.2777E-3	-4.2670E-3	4.2723E+3	1.0000E-6	-1.0000E-6	9.6596E-3	-9.6749E-3	9.6673E+3	-150.0000E+0	663.5411E-12	-150.0000E+0	-896.3381E-12	16.2461E-6	10.8307E-6	21.6614E-6	19:17:18	03/03/2023
9.9740E+0	9.9501E+0	9.9621E+0	11.9500E-3	1.0000E-6	-1.0000E-6	4.2779E-3	-4.2680E-3	4.2730E+3	1.0000E-6	-1.0000E-6	9.6623E-3	-9.6787E-3	9.6705E+3	-150.0000E+0	-151.7522E-12	-150.0000E+0	-1.0948E-9	10.8307E-6	10.8307E-6	10.8307E-6	19:17:23	03/03/2023
9.9084E+0	9.9586E+0	9.9335E+0	-25.1000E-3	1.0000E-6	-1.0000E-6	4.2778E-3	-4.2665E-3	4.2722E+3	1.0000E-6	-1.0000E-6	9.6622E-3	-9.6765E-3	9.6693E+3	-150.0000E+0	-1.1522E-9	-150.0000E+0	-667.2928E-12	27.0768E-6	43.3229E-6	10.8307E-6	19:17:29	03/03/2023
9.9541E+0	9.9381E+0	9.9461E+0	8.0000E-3	1.0000E-6	-1.0000E-6	4.2779E-3	-4.2672E-3	4.2725E+3	1.0000E-6	-1.0000E-6	9.6630E-3	-9.6767E-3	9.6698E+3	-150.0000E+0	-562.7743E-12	-150.0000E+0	794.8771E-12	-5.4154E-6	-0.0000E+0	-10.8307E-6	19:17:34	03/03/2023
9.9437E+0	9.9417E+0	9.9427E+0	1.0000E-3	1.0000E-6	-1.0000E-6	4.2786E-3	-4.2674E-3	4.2730E+3	1.0000E-6	-1.0000E-6	9.6629E-3	-9.6769E-3	9.6699E+3	-150.0000E+0	1.1985E-9	-150.0000E+0	700.0215E-12	10.8307E-6	-0.0000E+0	21.6614E-6	19:17:40	03/03/2023
9.9441E+0	9.9496E+0	9.9469E+0	-2.7500E-3	1.0000E-6	-1.0000E-6	4.2779E-3	-4.2671E-3	4.2725E+3	1.0000E-6	-1.0000E-6	9.6623E-3	-9.6784E-3	9.6703E+3	-150.0000E+0	-2.5714E-9	-150.0000E+0	-1.2626E-9	27.0768E-6	21.6614E-6	32.4921E-6	19:17:45	03/03/2023
9.9110E+0	9.9022E+0	9.9066E+0	4.4000E-3	1.0000E-6	-1.0000E-6	4.2775E-3	-4.2677E-3	4.2726E+3	1.0000E-6	-1.0000E-6	9.6653E-3	-9.6776E-3	9.6714E+3	-150.0000E+0	-2.0830E-9	-150.0000E+0	720.2332E-12	0.0000E+0	10.8307E-6	-10.8307E-6	19:17:51	03/03/2023
9.9406E+0	9.8859E+0	9.9132E+0	27.3500E-3	1.0000E-6	-1.0000E-6	4.2774E-3	-4.2673E-3	4.2724E+3	1.0000E-6	-1.0000E-6	9.6654E-3	-9.6769E-3	9.6711E+3	-150.0000E+0	-997.0786E-12	-150.0000E+0	606.2328E-12	5.4154E-6	-10.8307E-6	21.6614E-6	19:17:56	03/03/2023
9.9581E+0	9.9116E+0	9.9349E+0	23.2500E-3	1.0000E-6	-1.0000E-6	4.2787E-3	-4.2667E-3	4.2727E+3	1.0000E-6	-1.0000E-6	9.6641E-3	-9.6794E-3	9.6718E+3	-150.0000E+0	-592.3629E-12	-150.0000E+0	-1.7133E-9	16.2461E-6	21.6614E-6	10.8307E-6	19:18:02	03/03/2023
