------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
------------------------------------------------------------------------------------------------------------------

1653748365.6513190	305.46000	95902.100000000	-0.43	95899.374047444	7133.525000000	-1.18	7132.007081418
1653748366.8434961	305.41000	95902.100000000	-0.43	95899.374047444	7133.525000000	-1.18	7132.022452107
1653748368.0399570	305.41000	95892.500000000	-0.43	95889.774320317	7133.525000000	-1.18	7132.007081418
1653748369.3458500	305.51000	95892.500000000	-0.43	95889.774320317	7133.525000000	-1.18	7132.022452107
1653748370.5546119	305.35000	95892.500000000	-0.43	95889.774320317	7132.775000000	-1.18	7131.272610080
1653748372.2610641	305.35000	95892.500000000	-0.43	95889.774320317	7132.775000000	-1.18	7131.272610080
1653748373.4475541	305.32000	95892.500000000	-0.43	95889.774320317	7132.775000000	-1.18	7131.272610080
1653748374.6513519	305.45000	95892.500000000	-0.43	95889.774320317	7132.775000000	-1.18	7131.272610080
1653748375.8503439	305.36000	95892.500000000	-0.43	95889.774320317	7132.775000000	-1.18	7131.272610080
1653748377.5506251	305.40000	95892.500000000	-0.43	95889.774320317	7132.775000000	-1.18	7131.272610080
1653748379.2524459	305.33000	95892.500000000	-0.43	95889.774320317	7132.775000000	-1.18	7131.272610080
1653748380.4502540	305.35000	95892.500000000	-0.43	95889.774320317	7132.775000000	-1.18	7131.272610080
1653748382.1483760	305.28000	95883.000000000	-0.43	95880.274590348	7132.775000000	-1.18	7131.272610080
1653748383.3531699	305.33000	95883.000000000	-0.43	95880.274590348	7132.775000000	-1.18	7131.272610080
1653748385.0516469	305.40000	95883.000000000	-0.43	95880.274590348	7132.000000000	-1.18	7130.497773320
1653748386.7534671	305.22000	95883.000000000	-0.43	95880.274590348	7132.000000000	-1.18	7130.497773320
1653748387.9552579	305.27000	95873.500000000	-0.43	95870.774860380	7132.000000000	-1.18	7130.497773320
1653748389.6653559	305.26000	95873.500000000	-0.43	95870.774860380	7131.250000000	-1.18	7129.747931294
1653748390.8615260	305.22000	95873.500000000	-0.43	95870.774860380	7131.250000000	-1.18	7129.747931294
1653748392.5699649	305.34000	95873.500000000	-0.43	95870.774860380	7131.250000000	-1.18	7129.747931294
1653748394.2505050	305.28000	95873.500000000	-0.43	95870.774860380	7130.475000000	-1.18	7128.973094534
1653748395.4533150	305.27000	95873.500000000	-0.43	95870.774860380	7130.475000000	-1.18	7128.973094534
1653748397.1537671	305.15000	95873.500000000	-0.43	95870.774860380	7130.475000000	-1.18	7128.973094534
1653748398.3592019	305.19000	95873.500000000	-0.43	95870.774860380	7130.475000000	-1.18	7128.973094534
1653748400.0626659	305.22000	95873.500000000	-0.43	95870.774860380	7129.725000000	-1.18	7128.223252508
1653748401.7525179	305.15000	95873.500000000	-0.43	95870.774860380	7129.725000000	-1.18	7128.223252508
1653748402.9529650	305.09000	95873.500000000	-0.43	95870.774860380	7128.950000000	-1.18	7127.448415747
1653748404.1537890	305.06000	95873.500000000	-0.43	95870.774860380	7128.950000000	-1.18	7127.448415747
