-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
-----------------------------------------------------------------------------------

1653837687.7564561	0.0	-5.387198e-11	832.4475000000001	2.484	831.6653019102167
1653837690.0453677	1.0	1.035626e-09	830.6175000000001	2.496	829.829463570343
1653837692.1417868	2.0	7.072595e-11	828.785	2.484	828.0062433290494
1653837694.240837	3.0	1.114899e-09	826.5725	2.478	825.7995692255561
1653837696.3372464	4.0	7.506764e-10	824.97	2.49	824.1910793178099
1653837698.4336512	5.0	-7.583331e-11	823.9025	2.496	823.1208343301995
1653837700.5639708	6.0	5.553397e-10	822.5300000000001	2.508	821.7421161381565
1653837702.6617746	7.0	-1.603002e-10	821.5375	2.484	820.7655533448832
1653837704.7588265	8.0	-5.510814e-11	819.935	2.472	819.1719838534317
1653837706.8665578	9.0	-7.230976e-10	819.02	2.502	818.2392268984639
1653837708.9636133	10.0	1.384193e-09	818.1800000000001	2.484	817.4112081745709
1653837711.062369	11.0	9.464661e-10	816.8075	2.478	816.0437005104856
1653837713.160419	12.0	1.255932e-09	815.9675	2.502	815.1896368516915
1653837715.2591765	13.0	1.374138e-09	815.5875	2.496	814.8137230670881
1653837717.3575828	14.0	1.447888e-09	814.595	2.472	813.8369531573677
1653837719.4560823	15.0	4.856667e-10	813.9075	2.496	813.1353169429718
1653837721.55413	16.0	1.70474e-09	813.755	2.502	812.9792460315493
1653837723.6495667	17.0	-1.034721e-09	813.2975	2.478	812.5369827235018
1653837725.7479727	18.0	3.167407e-10	812.5350000000001	2.478	811.7751957398622
1653837727.8713052	19.0	-3.56553e-10	812.5350000000001	2.472	811.7788701547663
1653837729.9675922	20.0	-1.001758e-09	811.8475	2.484	811.0846584229691
1653837732.0679872	21.0	-9.371097e-10	811.8475	2.508	811.0698486760019
1653837734.1657448	22.0	-2.134117e-10	811.695	2.484	810.9323017175418
1653837736.2628202	23.0	-6.47696e-10	811.085	2.478	810.3265516398261
1653837738.3605893	24.0	-1.054129e-09	810.78	2.508	810.0033712113776
1653837740.457986	25.0	-1.2433e-10	810.8575	2.496	810.0882105866892
1653837742.5550442	26.0	4.594635e-10	810.5525	2.472	809.7982150321169
1653837744.6537943	27.0	-2.977968e-10	810.0174999999999	2.49	809.2526971784598
1653837746.7532003	28.0	-8.638915e-10	810.1700000000001	2.508	809.3939555173066
1653837748.8788817	29.0	1.470346e-09	809.7125	2.502	808.9405997533912
1653837750.976287	30.0	4.738844e-10	809.865	2.502	809.0929543748925
1653837753.0770426	31.0	-4.470357e-10	809.4825	2.472	808.7292107540666
1653837755.175442	32.0	-6.956985e-10	809.025	2.496	808.2574491447588
1653837757.273838	33.0	-8.11274e-10	809.33	2.508	808.5547601353071
1653837759.372889	34.0	-1.099501e-10	809.1775	2.478	808.4208353496063
1653837761.4697099	35.0	1.38959e-09	808.5675	2.484	807.8077404308249
1653837763.5674598	36.0	1.289305e-09	808.72	2.508	807.945344441236
1653837765.6655214	37.0	6.147519e-10	808.7975	2.49	808.0338490788106
1653837767.7624211	38.0	1.080002e-09	808.34	2.472	807.5877739431578
