----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
----------------------------------------------------------------------------------------------------------------------

1656490307.1379180	1.90200	nan	243.226500000	-7.91	240.909974240	3.109000000	-4.30	3.100264847
1656490312.2958250	1.89200	nan	230.561500000	-7.91	228.365597605	3.132840000	-5.68	3.117447490
1656490318.4045551	1.88800	nan	224.915500000	-7.88	222.792784653	3.201980000	-4.13	3.193673179
1656490321.4877050	1.88800	nan	230.523500000	-7.90	228.337919667	3.287820000	-4.07	3.279536532
1656490322.5558600	1.89900	nan	236.321500000	-7.90	234.080949155	3.268740000	-4.56	3.258393212
1656490324.1512480	1.89400	nan	240.518000000	-7.91	238.230737005	3.674040000	-4.62	3.662102394
1656490325.2516711	1.89100	nan	241.891000000	-7.90	239.597645039	3.500000000	-4.85	3.487478427
1656490326.8969340	1.88700	nan	232.736000000	-7.91	230.522741781	3.457080000	-5.05	3.443681754
1656490327.9552450	1.88600	nan	232.812000000	-7.89	230.608070477	3.404640000	-5.00	3.391694673
1656490329.0565209	1.90100	nan	258.103500000	-7.93	255.637834916	3.531000000	-4.81	3.518585326
1656490330.1532581	1.89300	nan	247.308000000	-7.93	244.945464426	3.793260000	-4.48	3.781690979
1656490331.7539980	1.89300	nan	247.041000000	-7.91	244.691704989	3.554840000	-4.78	3.542496965
1656490332.9571450	1.89000	nan	227.586000000	-7.91	225.418436714	3.546500000	-4.78	3.534185923
1656490334.0582199	1.89600	0.000000	255.128000000	-7.94	252.683386140	3.637100000	-4.67	3.625035719
1656490335.1589260	1.89000	0.005752	237.618500000	-7.90	235.365652371	3.669280000	-4.50	3.657968834
1656490336.7580180	1.89300	0.012942	194.703500000	-7.85	192.877082174	2.830040000	-4.69	2.820580247
1656490337.8617270	1.90700	0.018694	161.057500000	-7.82	159.560495546	1.686820000	-5.42	1.679283879
1656490341.5851769	1.91000	0.037388	321.352500000	-8.03	318.198524000	5.363860000	-4.43	5.347806239
1656490342.6612930	1.91000	0.043140	353.281500000	-8.06	349.788250106	6.731180000	-4.32	6.712056046
1656490344.2636721	1.91400	0.050330	441.019500000	-8.17	436.547868491	8.649260000	-4.26	8.625364132
1656490345.3680871	1.91100	0.056082	475.504500000	-8.22	470.619349227	10.181140000	-3.82	10.158496609
1656490348.9980619	1.91300	0.074776	596.010000000	-8.37	589.661710490	14.195520000	-3.64	14.166851188
1656490350.0702059	1.90900	0.080528	615.695000000	-8.40	609.090029044	15.050240000	-3.71	15.018733800
1656490351.6692920	1.90600	0.087718	664.105000000	-8.44	656.909410856	16.141020000	-3.74	16.106681584
1656490352.7690151	1.90400	0.093470	709.575000000	-8.50	701.777269750	17.418940000	-3.53	17.385816070
1656490354.4768391	1.90700	0.102098	752.070000000	-8.54	743.723573966	18.581220000	-3.52	18.546125350
1656490357.6042669	1.90700	0.117916	849.155000000	-8.66	839.465064431	20.826000000	-3.43	20.788780039
1656490359.1693230	1.91000	0.125106	885.510000000	-8.71	875.307190434	22.154000000	-3.41	22.114821481
