------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1655863556.1317849	9.98700	5.460700000	-8.99	5.393648515	27.303850000	-2.28	27.282234713	 112.000	 0.693
1655863561.5114591	9.98300	10.921450000	-8.99	10.787346416	54.607500000	-2.28	54.564269584	 112.000	 1.576
1655863566.8189521	9.97500	27.303850000	-8.99	26.968588278	109.215500000	-2.27	109.129946376	 112.000	 0.545
1655863572.1161909	9.96600	54.607500000	-8.99	53.936979012	273.047500000	-2.27	272.833609086	 112.000	 -0.772
1655863577.4290359	9.95300	109.215500000	-8.98	107.876238071	546.095000000	-2.27	545.667218172	 112.000	 0.066
1655863582.7225740	9.94000	273.047500000	-8.98	269.703700534	954.520000000	-2.26	953.776230159	 112.000	 -1.151
1655863588.1903601	9.92500	546.095000000	-8.98	539.398475763	954.290000000	-2.26	953.546409377	 112.000	 -0.920
1655863591.4064350	9.91600	958.600000000	-8.98	946.860774523	954.290000000	-2.26	953.546409377	 112.000	 0.103
1655863594.6278520	9.90700	958.410000000	-8.98	946.657437178	954.290000000	-2.26	953.546409377	 112.000	 0.737
1655863595.8725350	9.90300	958.410000000	-8.98	946.673101305	954.290000000	-2.26	953.546409377	 112.000	 0.165
1655863597.0853031	9.89800	958.410000000	-8.98	946.673101305	954.135000000	-2.26	953.391530154	 112.000	 -1.054
1655863598.2764840	9.89400	958.410000000	-8.98	946.673101305	954.135000000	-2.26	953.391530154	 112.000	 -0.998
1655863599.5740230	9.89000	958.410000000	-8.98	946.673101305	953.985000000	-2.26	953.241647035	 112.000	 -1.003
1655863601.2675130	9.88500	958.255000000	-8.98	946.519999469	953.985000000	-2.27	953.237698804	 112.000	 -0.658
1655863602.5700591	9.87800	958.255000000	-8.98	946.519999469	953.985000000	-2.26	953.241647035	 112.000	 0.475
1655863604.2725129	9.87300	958.255000000	-8.98	946.519999469	953.985000000	-2.26	953.241647035	 112.000	 -0.951
1655863605.5730441	9.86900	958.255000000	-8.98	946.519999469	953.985000000	-2.26	953.241647035	 112.000	 -1.090
1655863607.2701640	9.86400	958.255000000	-8.98	946.519999469	953.830000000	-2.26	953.086767813	 112.000	 1.431
1655863608.5018830	9.85900	958.105000000	-8.98	946.356177259	953.830000000	-2.26	953.086767813	 112.000	 1.507
1655863610.1917329	9.85400	958.105000000	-8.98	946.356177259	953.830000000	-2.26	953.086767813	 112.000	 1.035
1655863611.5647199	9.84800	958.105000000	-8.98	946.356177259	953.830000000	-2.26	953.086767813	 112.000	 1.097
1655863613.2711730	9.84200	958.105000000	-8.98	946.371836402	953.680000000	-2.26	952.940821213	 112.000	 1.149
1655863614.6987250	9.83600	957.950000000	-8.98	946.218734565	953.680000000	-2.27	952.932937725	 112.000	 0.521
1655863616.3918591	9.83200	957.950000000	-8.98	946.218734565	953.680000000	-2.26	952.940821213	 112.000	 0.695
1655863617.6036291	9.82400	957.950000000	-8.98	946.218734565	953.680000000	-2.27	952.932937725	 112.000	 -0.979
