------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1655839459.3049431	9.98500	2.730360000	-11.20	2.678342204	27.303850000	-2.81	27.270926233	 -28.000	 1.363
1655839464.5729001	9.98400	5.460700000	-9.55	5.384989595	54.607500000	-2.81	54.541652708	 -28.000	 0.630
1655839469.8857391	9.97600	10.921450000	-9.55	10.770028496	109.215500000	-2.77	109.087705914	 -28.000	 0.056
1655839475.6756811	9.96500	27.303850000	-9.55	26.925293121	273.047500000	-2.77	272.728004547	 -28.000	 -0.748
1655839481.4791939	9.94900	54.607500000	-9.55	53.850389014	546.095000000	-2.77	545.456009093	 -28.000	 0.964
1655839487.7734110	9.93500	109.215500000	-9.53	107.708853206	1092.190000000	-2.77	1090.912018186	 -28.000	 -1.156
1655839493.5815790	9.91800	273.047500000	-9.53	269.280762307	1457.375000000	-2.77	1455.669711775	 -28.000	 -1.238
1655839497.3575139	9.90800	546.095000000	-9.53	538.561524614	1457.375000000	-2.77	1455.677084554	 -28.000	 1.231
1655839500.5703149	9.89900	1092.190000000	-9.53	1077.123049228	1457.225000000	-2.77	1455.527259311	 -28.000	 0.949
1655839503.8621781	9.88700	1463.175000000	-9.53	1442.990246710	1457.225000000	-2.77	1455.527259311	 -28.000	 1.062
1655839505.0609820	9.88300	1463.175000000	-9.53	1442.990246710	1457.225000000	-2.77	1455.519887292	 -28.000	 -0.841
1655839506.2641389	9.87900	1463.175000000	-9.53	1442.990246710	1457.225000000	-2.77	1455.527259311	 -28.000	 0.206
1655839507.4519720	9.87500	1463.175000000	-9.53	1442.990246710	1457.225000000	-2.77	1455.527259311	 -28.000	 0.122
1655839508.9928529	9.86800	1463.020000000	-9.53	1442.837384962	1457.070000000	-2.77	1455.372439894	 -28.000	 -0.712
1655839510.7252300	9.86500	1463.020000000	-9.53	1442.837384962	1457.225000000	-2.77	1455.527259311	 -28.000	 1.460
1655839512.1823421	9.85900	1463.020000000	-9.53	1442.812016745	1457.070000000	-2.77	1455.365068659	 -28.000	 -0.257
1655839513.4320290	9.85400	1462.870000000	-9.53	1442.689454238	1457.070000000	-2.77	1455.372439894	 -28.000	 -0.718
1655839514.7455139	9.84800	1462.870000000	-9.53	1442.689454238	1457.070000000	-2.77	1455.365068659	 -28.000	 -0.923
1655839516.4350171	9.84300	1462.870000000	-9.53	1442.689454238	1457.070000000	-2.77	1455.365068659	 -28.000	 1.070
1655839517.6304779	9.83800	1462.870000000	-9.53	1442.689454238	1456.920000000	-2.77	1455.215244175	 -28.000	 0.765
1655839519.3331659	9.83200	1462.870000000	-9.53	1442.689454238	1456.920000000	-2.77	1455.215244175	 -28.000	 -0.634
1655839520.5311019	9.82300	1462.715000000	-9.53	1442.536592490	1456.920000000	-2.77	1455.215244175	 -28.000	 -1.229
1655839522.7348750	9.81900	1462.715000000	-9.53	1442.536592490	1456.920000000	-2.77	1455.215244175	 -28.000	 0.176
