------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1656017025.6818719	9.99100	1092.190000000	-10.01	1075.550805754	0.218438000	-3.26	0.218083647	 -74.000	 0.503
1656017030.9537981	9.98900	1996.010000000	-10.01	1965.601373198	0.397799000	-3.26	0.397156055	 -74.000	 0.596
1656017032.3760009	9.98600	1996.010000000	-10.01	1965.601373198	0.397799000	-3.26	0.397153686	 -74.000	 0.237
1656017033.6300170	9.98600	1996.010000000	-10.01	1965.601373198	0.397799000	-3.26	0.397153686	 -74.000	 0.565
1656017034.8244720	9.98400	1996.010000000	-10.01	1965.601373198	0.397799000	-3.26	0.397153686	 -74.000	 1.141
1656017036.0176439	9.98100	1996.010000000	-10.01	1965.601373198	0.397799000	-3.26	0.397153686	 -74.000	 0.384
1656017037.7101250	9.98000	1996.010000000	-10.01	1965.601373198	0.397799000	-3.26	0.397153686	 -74.000	 -1.007
1656017038.9025929	9.97600	1996.010000000	-10.01	1965.601373198	0.397768000	-3.26	0.397122736	 -74.000	 0.976
1656017041.2403541	9.97300	1996.010000000	-10.01	1965.601373198	0.397768000	-3.26	0.397122736	 -74.000	 0.797
1656017042.4860339	9.97100	1996.010000000	-10.01	1965.601373198	0.397768000	-3.26	0.397122736	 -74.000	 0.090
1656017043.6991551	9.96700	1995.860000000	-10.01	1965.453658404	0.397768000	-3.26	0.397122736	 -74.000	 0.770
1656017044.8975999	9.96200	1996.010000000	-10.01	1965.601373198	0.397768000	-3.26	0.397122736	 -74.000	 -0.047
1656017047.3680110	9.95800	1996.010000000	-10.01	1965.601373198	0.397768000	-3.26	0.397125105	 -74.000	 -1.044
1656017048.6376240	9.95700	1995.860000000	-10.01	1965.453658404	0.397768000	-3.26	0.397122736	 -74.000	 -1.284
1656017049.8304460	9.95300	1995.860000000	-10.01	1965.453658404	0.397768000	-3.26	0.397122736	 -74.000	 1.029
1656017051.0196300	9.95000	1995.860000000	-10.01	1965.453658404	0.397768000	-3.26	0.397122736	 -74.000	 -0.476
1656017052.7111070	9.94700	1995.860000000	-10.01	1965.453658404	0.397768000	-3.26	0.397122736	 -74.000	 1.244
1656017053.9015801	9.94100	1995.860000000	-10.01	1965.453658404	0.397768000	-3.26	0.397122736	 -74.000	 -1.138
1656017056.2885740	9.93500	1995.705000000	-10.01	1965.301019784	0.397768000	-3.26	0.397122736	 -74.000	 -0.527
1656017057.5019760	9.93200	1995.705000000	-10.01	1965.301019784	0.397738000	-3.26	0.397095154	 -74.000	 0.426
1656017058.7011499	9.92800	1995.705000000	-10.01	1965.301019784	0.397738000	-3.26	0.397092785	 -74.000	 0.960
1656017059.9039240	9.92200	1995.705000000	-10.01	1965.301019784	0.397707000	-3.26	0.397064204	 -74.000	 -1.373
1656017062.2453220	9.91900	1995.705000000	-10.01	1965.301019784	0.397738000	-3.26	0.397092785	 -74.000	 -1.174
