------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1656021894.8399949	9.99100	273.047500000	-9.80	269.064785290	0.054609500	-3.06	0.054531637	 -42.000	 -0.077
1656021900.1278820	9.98900	546.095000000	-9.80	538.129570581	0.109219000	-3.06	0.109063273	 -42.000	 0.644
1656021905.4111440	9.97900	1092.190000000	-9.80	1076.259141162	0.218438000	-3.05	0.218127767	 -42.000	 -0.513
1656021911.2103260	9.97100	1790.935000000	-9.80	1764.812134315	0.356844000	-3.06	0.356335205	 -42.000	 -0.540
1656021912.9570119	9.96800	1790.935000000	-9.80	1764.812134315	0.356874000	-3.06	0.356365162	 -42.000	 1.001
1656021914.4967070	9.96300	1790.780000000	-9.80	1764.659395169	0.356844000	-3.06	0.356335205	 -42.000	 -1.175
1656021916.1850450	9.95900	1790.780000000	-9.80	1764.659395169	0.356813000	-3.05	0.356306242	 -42.000	 -1.033
1656021917.6381681	9.95500	1790.780000000	-9.80	1764.659395169	0.356844000	-3.05	0.356337198	 -42.000	 -0.498
1656021918.8648951	9.95300	1790.780000000	-9.80	1764.659395169	0.356844000	-3.06	0.356335205	 -42.000	 0.694
1656021920.0646949	9.94800	1790.780000000	-9.80	1764.659395169	0.356844000	-3.05	0.356337198	 -42.000	 1.041
1656021922.2661669	9.94400	1790.780000000	-9.80	1764.659395169	0.356813000	-3.06	0.356304249	 -42.000	 -0.229
1656021923.6551139	9.94100	1790.630000000	-9.80	1764.479663147	0.356813000	-3.05	0.356306242	 -42.000	 0.394
1656021924.8658841	9.93800	1790.780000000	-9.80	1764.659395169	0.356813000	-3.05	0.356306242	 -42.000	 0.468
1656021926.0690310	9.93100	1790.630000000	-9.80	1764.479663147	0.356813000	-3.05	0.356306242	 -42.000	 1.275
1656021928.2681530	9.92700	1790.630000000	-9.80	1764.479663147	0.356813000	-3.05	0.356306242	 -42.000	 0.012
1656021929.5852950	9.92200	1790.475000000	-9.80	1764.326926765	0.356813000	-3.05	0.356306242	 -42.000	 -0.790
1656021931.2767839	9.91800	1790.475000000	-9.80	1764.326926765	0.356783000	-3.06	0.356274292	 -42.000	 1.097
1656021932.5635009	9.91500	1790.475000000	-9.80	1764.358843948	0.356783000	-3.05	0.356276285	 -42.000	 -1.273
1656021934.2688029	9.91200	1790.475000000	-9.80	1764.326926765	0.356783000	-3.06	0.356274292	 -42.000	 1.049
1656021935.5613501	9.90400	1790.325000000	-9.80	1764.211031873	0.356752000	-3.05	0.356245329	 -42.000	 0.477
1656021937.2747800	9.90000	1790.325000000	-9.80	1764.211031873	0.356783000	-3.05	0.356276285	 -42.000	 1.043
1656021938.6880071	9.89600	1790.325000000	-9.80	1764.211031873	0.356752000	-3.05	0.356245329	 -42.000	 -0.872
1656021939.8798289	9.89200	1790.475000000	-9.80	1764.326926765	0.356752000	-3.05	0.356245329	 -42.000	 -1.397
1656021941.0676589	9.88400	1790.325000000	-9.80	1764.211031873	0.356752000	-3.05	0.356245329	 -42.000	 0.676
