------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1656046239.9107101	9.99100	10.921450000	-8.98	10.787703532	0.010921500	-2.26	0.010913035	 118.000	 0.985
1656046245.3638141	9.98900	27.303850000	-8.98	26.969481075	0.021843100	-2.23	0.021826528	 118.000	 0.555
1656046250.8096559	9.98100	54.607500000	-8.97	53.939656505	0.054609500	-2.23	0.054568291	 118.000	 0.371
1656046256.1191230	9.97000	109.215500000	-8.96	107.883370988	0.109219000	-2.23	0.109136583	 118.000	 0.768
1656046261.9096749	9.95600	273.047500000	-8.96	269.717070745	0.206086000	-2.23	0.205929647	 118.000	 1.313
1656046268.4173141	9.94100	546.095000000	-8.96	539.425233931	0.206056000	-2.23	0.205900509	 118.000	 -0.797
1656046272.3451951	9.93000	1034.360000000	-8.96	1021.743650082	0.206025000	-2.23	0.205869532	 118.000	 -0.892
1656046275.7122130	9.92100	1034.095000000	-8.96	1021.481882354	0.205995000	-2.23	0.205839555	 118.000	 0.221
1656046276.9625170	9.91500	1034.095000000	-8.96	1021.481882354	0.205995000	-2.23	0.205838716	 118.000	 1.565
1656046279.4209590	9.91000	1034.095000000	-8.96	1021.481882354	0.205964000	-2.23	0.205807739	 118.000	 0.272
1656046280.6975551	9.90600	1033.940000000	-8.96	1021.311907948	0.205964000	-2.23	0.205808578	 118.000	 -0.787
1656046281.8907161	9.90200	1033.940000000	-8.96	1021.311907948	0.205964000	-2.23	0.205807739	 118.000	 1.451
1656046283.0885310	9.89700	1033.940000000	-8.96	1021.311907948	0.205934000	-2.23	0.205777762	 118.000	 1.516
1656046284.7780230	9.89200	1033.940000000	-8.96	1021.311907948	0.205934000	-2.22	0.205779437	 118.000	 0.069
1656046285.9674940	9.88600	1033.790000000	-8.96	1021.180602516	0.205934000	-2.23	0.205777762	 118.000	 1.352
1656046288.3451531	9.88100	1033.790000000	-8.96	1021.180602516	0.205934000	-2.23	0.205778601	 118.000	 0.707
1656046289.5619071	9.87700	1033.790000000	-8.96	1021.180602516	0.205903000	-2.23	0.205746786	 118.000	 1.148
1656046290.7650621	9.87300	1033.790000000	-8.96	1021.163739983	0.205903000	-2.23	0.205747624	 118.000	 1.247
1656046291.9644971	9.86400	1033.635000000	-8.96	1021.027493090	0.205903000	-2.23	0.205746786	 118.000	 1.110
1656046294.4253030	9.86100	1033.635000000	-8.96	1021.027493090	0.205903000	-2.23	0.205747624	 118.000	 1.185
1656046295.7045200	9.85500	1033.485000000	-8.96	1020.879322678	0.205873000	-2.23	0.205717647	 118.000	 1.370
1656046296.8967071	9.85000	1033.485000000	-8.96	1020.879322678	0.205873000	-2.22	0.205718483	 118.000	 -0.551
1656046298.0875161	9.84400	1033.485000000	-8.96	1020.879322678	0.205873000	-2.23	0.205717647	 118.000	 -0.178
1656046299.7826440	9.83900	1033.485000000	-8.96	1020.879322678	0.205842000	-2.23	0.205686670	 118.000	 1.028
