----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
----------------------------------------------------------------------------------------------------------------------

1701254363.5493219	4.99800	0.001438	1504.677500000	-6.89	1493.798557067	719.266000000	-109.97	-245.696726414	0.007066497
1701254364.7996280	5.00200	0.007190	1503.915000000	-6.98	1492.756169191	718.846000000	-109.99	-245.694750221	0.006407232
1701254366.0303359	5.00400	0.014380	1504.220000000	-6.98	1493.058906135	717.320000000	-109.97	-245.031985094	0.006036435
1701254367.2450910	5.00200	0.020132	1503.762500000	-7.00	1492.566472860	718.427000000	-110.00	-245.692939905	0.001174193
1701254369.4545419	5.00800	0.030198	1504.525000000	-6.98	1493.380792161	716.863000000	-109.97	-244.875876779	0.010033280
1701254370.7042019	5.00000	0.037388	1504.677500000	-6.96	1493.589517372	715.261000000	-109.94	-243.906216884	0.005706727
1701254372.4395649	5.01300	0.046016	1504.832500000	-6.96	1493.743375176	715.375000000	-109.95	-244.085933324	0.003069614
1701254373.6553149	5.01100	0.051768	1505.747500000	-6.91	1494.803966215	715.337000000	-109.94	-244.002551760	0.004841450
1701254375.4122651	5.00400	0.060396	1506.205000000	-6.86	1495.428314240	716.825000000	-109.95	-244.580673290	0.003522869
1701254376.6243811	4.99400	0.066148	1505.747500000	-6.92	1494.765981145	718.236000000	-110.00	-245.627620322	0.006159979
1701254378.3393159	5.00100	0.074776	1505.747500000	-6.92	1494.765981145	720.868000000	-110.05	-247.166058656	0.007808212
1701254379.5547161	5.00100	0.081966	1506.357500000	-6.92	1495.371532373	719.800000000	-110.03	-246.587434147	0.006695661
1701254381.3143649	5.00100	0.090594	1506.052500000	-7.00	1494.820205323	721.555000000	-110.09	-247.827447569	0.004429353
1701254382.5297599	5.00300	0.096346	1506.357500000	-7.00	1495.142152195	721.173000000	-110.08	-247.625316517	0.011393060
1701254384.2435870	4.99600	0.109288	1506.967500000	-6.98	1495.805200253	717.206000000	-110.01	-245.416522198	0.008426249
1701254386.2232440	5.00900	0.115040	1508.187500000	-6.90	1497.264213631	717.053000000	-109.98	-245.011351040	0.005541921
1701254387.9452870	4.98700	0.123668	1508.797500000	-6.86	1497.983390310	717.320000000	-109.98	-245.102582833	0.006695668
1701254389.1520610	5.00400	0.129420	1508.492500000	-6.89	1497.585974301	719.190000000	-110.02	-246.236944044	0.012546820
1701254390.9107161	5.00600	0.138048	1509.257500000	-6.91	1498.307468255	720.754000000	-110.05	-247.126971152	0.006489649
1701254392.1264720	4.99500	0.143800	1509.562500000	-6.94	1498.515011046	720.029000000	-110.06	-246.949217563	0.011104620
1701254393.8398890	5.00700	0.152428	1509.715000000	-6.93	1498.685478666	722.127000000	-110.09	-248.094927700	0.010692580
1701254395.0502980	5.00400	0.158180	1510.782500000	-6.89	1499.859417412	720.029000000	-110.05	-246.807556415	0.007519763
1701254396.3085971	4.99600	0.165370	1510.477500000	-6.96	1499.346777117	720.029000000	-110.08	-247.161688971	0.005912749
