----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
----------------------------------------------------------------------------------------------------------------------

1701364549.3831520	4.99400	-0.000000	863.652500000	9.01	853.005351734	13.551800000	-39.14	10.511154939	0.024001930
1701364552.6544311	4.99400	-0.000000	863.652500000	9.01	853.005351734	13.499300000	-39.20	10.461505951	0.023054170
1701364553.8558731	4.99600	-0.000000	863.652500000	9.01	853.005351734	13.527900000	-39.09	10.499767096	0.018851300
1701364555.0716360	4.98700	-0.000000	863.652500000	9.01	853.005351734	13.532700000	-39.07	10.507065984	0.025979730
1701364556.3446209	4.99800	-0.000000	863.652500000	9.01	853.005351734	13.532700000	-39.08	10.504386154	0.020004990
1701364558.0540509	4.99400	-0.000000	863.652500000	9.01	853.005351734	13.532700000	-39.10	10.502599025	0.018810030
1701364559.2604761	4.99300	-0.000000	863.652500000	9.01	853.005351734	13.499300000	-39.17	10.465971646	0.027009860
1701364560.9642911	4.98800	-0.000000	863.652500000	9.01	853.005351734	13.527900000	-39.09	10.499767096	0.026803850
1701364562.1727140	4.99300	-0.000000	863.652500000	9.01	853.005351734	13.499300000	-39.20	10.461505951	0.016131730
1701364563.9280760	4.99400	-0.000000	863.652500000	9.01	853.005351734	13.494600000	-39.23	10.452502856	0.028204820
1701364565.1371801	4.99100	-0.000000	863.652500000	9.01	853.005351734	13.494600000	-39.23	10.452502856	0.021488370
1701364567.3502829	4.99000	-0.000000	863.652500000	9.01	853.005351734	13.494600000	-39.23	10.452502856	0.026309380
1701364568.5537159	4.99400	-0.000000	863.652500000	9.01	853.005351734	13.489800000	-39.22	10.451464862	0.022724530
1701364570.2741339	4.99500	-0.000000	863.652500000	9.01	853.005351734	13.494600000	-39.23	10.452502856	0.020787900
1701364571.4812710	4.99800	-0.000000	863.652500000	9.01	853.005351734	13.489800000	-39.23	10.449678351	0.022806940
1701364573.2355959	4.98900	-0.000000	863.652500000	9.01	853.005351734	13.494600000	-39.23	10.452502856	0.021323560
1701364574.4390380	5.00300	-0.000000	863.652500000	9.01	853.005351734	13.494600000	-39.23	10.452502856	0.023960690
1701364576.1624489	5.00000	-0.000000	863.805000000	9.01	853.155971707	13.494600000	-39.23	10.452502856	0.019798980
1701364577.3685780	4.99600	-0.000000	863.652500000	9.01	853.005351734	13.494600000	-39.23	10.452502856	0.019757710
1701364579.0830150	4.99900	-0.000000	863.652500000	9.01	853.005351734	13.532700000	-39.10	10.502599025	0.024496360
1701364580.3436589	4.99400	-0.000000	863.652500000	9.01	853.005351734	13.537500000	-39.08	10.508112022	0.022065240
1701364582.0617290	4.99900	0.002876	863.652500000	9.01	853.005351734	13.551800000	-38.99	10.532619677	0.017903490
1701364583.2688761	4.99900	0.008628	863.652500000	9.01	853.005351734	13.542200000	-39.05	10.517122652	0.027174680
1701364584.9829471	4.99700	0.017256	863.805000000	9.01	853.155971707	13.504100000	-39.20	10.465225791	0.020993930
1701364586.2405951	5.00800	0.024446	863.805000000	9.01	853.155971707	13.494600000	-39.23	10.452502856	0.022477280
