------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 Vgate (V) 	 Ileak (nA)
------------------------------------------------------------------------------------------------------------------

1700226994.6759701	8.00600	13421.100000000	6.64	13331.020870125	136.519250000	4.31	136.132461340	 6.000	 0.025
1700226997.9538760	8.00500	13421.100000000	6.64	13331.020870125	273.037500000	4.32	272.261773230	 6.000	 0.024
1700227001.1633191	7.99700	13421.100000000	6.64	13331.020870125	546.077500000	4.32	544.526039357	 6.000	 0.021
1700227005.3730991	7.98400	13421.100000000	6.64	13331.020870125	888.925000000	4.32	886.399475414	 6.000	 0.020
1700227006.6221271	7.97800	13421.100000000	6.64	13331.020870125	888.925000000	4.32	886.399475414	 6.000	 0.026
1700227007.8195789	7.97400	13421.100000000	6.64	13331.020870125	888.925000000	4.33	886.392458532	 6.000	 0.022
1700227009.0167329	7.97200	13421.100000000	6.64	13331.020870125	888.925000000	4.33	886.392458532	 6.000	 0.027
1700227010.2251689	7.95800	13421.100000000	6.64	13331.020870125	888.925000000	4.32	886.399475414	 6.000	 0.027
1700227012.4183230	7.95800	13421.100000000	6.64	13331.020870125	888.925000000	4.33	886.392458532	 6.000	 0.027
1700227013.6204741	7.94900	13421.100000000	6.64	13331.020870125	888.925000000	4.32	886.399475414	 6.000	 0.026
1700227015.3195920	7.94100	13421.100000000	6.64	13331.020870125	888.925000000	4.32	886.399475414	 6.000	 0.022
1700227016.5183959	7.93400	13421.100000000	6.64	13331.020870125	888.877500000	4.33	886.345093859	 6.000	 0.020
1700227018.2231979	7.93100	13408.700000000	6.65	13318.541610756	888.640000000	4.32	886.115285128	 6.000	 0.028
1700227019.4220121	7.91800	13405.900000000	6.65	13315.760437599	888.545000000	4.33	886.013541149	 6.000	 0.027
1700227021.1184900	7.91400	13405.900000000	6.65	13315.760437599	888.497500000	4.32	885.973189984	 6.000	 0.024
1700227022.3182950	7.90600	13405.900000000	6.65	13315.760437599	888.450000000	4.32	885.925824937	 6.000	 0.024
1700227024.0197561	7.89900	13405.900000000	6.65	13315.760437599	888.450000000	4.32	885.925824937	 6.000	 0.019
1700227025.2235489	7.88600	13405.900000000	6.65	13315.760437599	888.450000000	4.32	885.925824937	 6.000	 0.022
1700227027.4206960	7.88100	13405.900000000	6.65	13315.760437599	888.450000000	4.32	885.925824937	 6.000	 0.029
1700227028.6201429	7.86600	13405.900000000	6.65	13315.760437599	888.257500000	4.33	885.726860235	 6.000	 0.027
1700227030.3209651	7.86300	13405.900000000	6.65	13315.760437599	888.257500000	4.33	885.726860235	 6.000	 0.027
1700227031.5197589	7.85400	13405.900000000	6.65	13315.760437599	888.115000000	4.33	885.584766216	 6.000	 0.026
1700227033.2228770	7.84700	13405.900000000	6.65	13315.760437599	888.067500000	4.33	885.537401544	 6.000	 0.024
1700227034.4216809	7.83400	13405.900000000	6.65	13315.760437599	888.020000000	4.33	885.490036871	 6.000	 0.023
1700227036.1181610	7.82400	13405.900000000	6.65	13315.760437599	887.972500000	4.33	885.442672198	 6.000	 0.025
