T [K]	T [K]	T_avg [K]	T_err [K]	A_I [A]	A_I [A]	A_V [V]	A_V [V]	A_R [ohm]	B_I [A]	B_I [A]	B_V [V]	B_V [V]	B_R [ohm]	A_Vg [V]	A_Ileak [A]	B_Vg [V]	B_Ileak [A]	B [T]	B1 [T]	B2 [T]	Time	Day
4.9405E+0	4.9729E+0	4.9567E+0	-16.2000E-3	10.0000E-6	-10.0000E-6	822.1292E-6	-765.0151E-6	79.3572E+0	10.0000E-6	-10.0000E-6	-1.9364E-3	1.7680E-3	-185.2219E+0	-100.0000E+0	6.6662E-9	-50.0000E+0	341.8315E-12	12.0001E+0	12.0000E+0	12.0001E+0	01:22:36	14/03/2023
4.9827E+0	5.0019E+0	4.9923E+0	-9.6000E-3	10.0000E-6	-10.0000E-6	814.3360E-6	-815.8076E-6	81.5072E+0	10.0000E-6	-10.0000E-6	-1.7665E-3	1.7609E-3	-176.3687E+0	-50.0000E+0	318.0766E-12	-50.0000E+0	-489.3506E-12	11.9999E+0	12.0000E+0	11.9998E+0	02:22:37	14/03/2023
4.9768E+0	4.9840E+0	4.9804E+0	-3.6000E-3	10.0000E-6	-10.0000E-6	817.6479E-6	-818.5859E-6	81.8117E+0	10.0000E-6	-10.0000E-6	-1.7662E-3	1.7601E-3	-176.3138E+0	-50.0000E+0	-411.3261E-12	-50.0000E+0	-821.7610E-12	11.9944E+0	11.9970E+0	11.9919E+0	02:22:41	14/03/2023
4.9817E+0	5.0426E+0	5.0122E+0	-30.4500E-3	10.0000E-6	-10.0000E-6	818.0936E-6	-814.1441E-6	81.6119E+0	10.0000E-6	-10.0000E-6	-1.7644E-3	1.7582E-3	-176.1269E+0	-50.0000E+0	-2.0997E-9	-50.0000E+0	-1.5938E-9	11.9839E+0	11.9867E+0	11.9811E+0	02:22:44	14/03/2023
5.0338E+0	4.9868E+0	5.0103E+0	23.5000E-3	10.0000E-6	-10.0000E-6	814.2077E-6	-812.6663E-6	81.3437E+0	10.0000E-6	-10.0000E-6	-1.7625E-3	1.7563E-3	-175.9414E+0	-50.0000E+0	974.6259E-12	-50.0000E+0	420.1304E-12	11.9686E+0	11.9716E+0	11.9656E+0	02:22:47	14/03/2023
4.9791E+0	4.9913E+0	4.9852E+0	-6.1000E-3	10.0000E-6	-10.0000E-6	812.3229E-6	-811.7853E-6	81.2054E+0	10.0000E-6	-10.0000E-6	-1.7609E-3	1.7542E-3	-175.7551E+0	-50.0000E+0	-410.1722E-12	-50.0000E+0	-431.9154E-12	11.9552E+0	11.9587E+0	11.9518E+0	02:22:50	14/03/2023
4.9549E+0	4.9918E+0	4.9733E+0	-18.4500E-3	10.0000E-6	-10.0000E-6	811.0757E-6	-808.2877E-6	80.9682E+0	10.0000E-6	-10.0000E-6	-1.7580E-3	1.7521E-3	-175.5076E+0	-50.0000E+0	1.0882E-9	-50.0000E+0	-775.6646E-12	11.9382E+0	11.9418E+0	11.9346E+0	02:22:54	14/03/2023
5.0005E+0	5.0195E+0	5.0100E+0	-9.5000E-3	10.0000E-6	-10.0000E-6	810.9031E-6	-808.8768E-6	80.9890E+0	10.0000E-6	-10.0000E-6	-1.7558E-3	1.7502E-3	-175.3021E+0	-50.0000E+0	838.1814E-12	-50.0000E+0	-1.2808E-9	11.9239E+0	11.9274E+0	11.9203E+0	02:22:57	14/03/2023
4.9959E+0	4.9915E+0	4.9937E+0	2.2000E-3	10.0000E-6	-10.0000E-6	810.0062E-6	-806.8797E-6	80.8443E+0	10.0000E-6	-10.0000E-6	-1.7538E-3	1.7476E-3	-175.0685E+0	-50.0000E+0	1.1372E-9	-50.0000E+0	1.3220E-9	11.9073E+0	11.9118E+0	11.9028E+0	02:23:00	14/03/2023
4.9880E+0	5.0078E+0	4.9979E+0	-9.9000E-3	10.0000E-6	-10.0000E-6	808.2197E-6	-806.4221E-6	80.7321E+0	10.0000E-6	-10.0000E-6	-1.7516E-3	1.7451E-3	-174.8383E+0	-50.0000E+0	726.5452E-12	-50.0000E+0	1.1885E-9	11.8921E+0	11.8956E+0	11.8886E+0	02:23:04	14/03/2023
