T [K]	T [K]	T_avg [K]	T_err [K]	A_I [A]	A_I [A]	A_V [V]	A_V [V]	A_R [ohm]	B_I [A]	B_I [A]	B_V [V]	B_V [V]	B_R [ohm]	A_Vg [V]	A_Ileak [A]	B_Vg [V]	B_Ileak [A]	B [T]	B1 [T]	B2 [T]	Time	Day
10.0268E+0	10.0022E+0	10.0145E+0	12.3000E-3	1.0000E-6	-1.0000E-6	13.6223E-3	-10.4671E-3	12.0447E+3	1.0000E-6	-1.0000E-6	21.7998E-3	-14.2529E-3	18.0264E+3	-150.0000E+0	3.8306E-9	-150.0000E+0	-234.1382E-12	10.8307E-6	-10.8307E-6	32.4921E-6	23:25:12	10/03/2023
10.0248E+0	9.9993E+0	10.0121E+0	12.7500E-3	1.0000E-6	-1.0000E-6	10.3760E-3	-10.3691E-3	10.3726E+3	1.0000E-6	-1.0000E-6	14.0753E-3	-14.0915E-3	14.0834E+3	-150.0000E+0	-723.5700E-12	-150.0000E+0	-1.0870E-9	27.0768E-6	10.8307E-6	43.3229E-6	00:25:13	11/03/2023
10.0218E+0	10.0059E+0	10.0139E+0	7.9500E-3	1.0000E-6	-1.0000E-6	10.3760E-3	-10.3701E-3	10.3731E+3	1.0000E-6	-1.0000E-6	14.0750E-3	-14.0922E-3	14.0836E+3	-150.0000E+0	645.4882E-12	-150.0000E+0	809.3345E-12	16.2461E-6	10.8307E-6	21.6614E-6	00:25:16	11/03/2023
10.0200E+0	10.0139E+0	10.0169E+0	3.0500E-3	1.0000E-6	-1.0000E-6	10.3758E-3	-10.3694E-3	10.3726E+3	1.0000E-6	-1.0000E-6	14.0744E-3	-14.0939E-3	14.0842E+3	-150.0000E+0	-1.4053E-9	-150.0000E+0	-983.3516E-12	21.6614E-6	10.8307E-6	32.4921E-6	00:25:19	11/03/2023
10.0037E+0	9.9754E+0	9.9896E+0	14.1500E-3	1.0000E-6	-1.0000E-6	10.3761E-3	-10.3699E-3	10.3730E+3	1.0000E-6	-1.0000E-6	14.0787E-3	-14.0960E-3	14.0874E+3	-150.0000E+0	467.9569E-12	-150.0000E+0	-1.9862E-9	10.8307E-6	10.8307E-6	10.8307E-6	00:25:22	11/03/2023
10.0033E+0	10.0200E+0	10.0116E+0	-8.3500E-3	1.0000E-6	-1.0000E-6	10.3752E-3	-10.3698E-3	10.3725E+3	1.0000E-6	-1.0000E-6	14.0754E-3	-14.0957E-3	14.0856E+3	-150.0000E+0	503.2324E-12	-150.0000E+0	-1.0113E-9	5.4154E-6	0.0000E+0	10.8307E-6	00:25:25	11/03/2023
10.0036E+0	9.9920E+0	9.9978E+0	5.8000E-3	1.0000E-6	-1.0000E-6	10.3758E-3	-10.3700E-3	10.3729E+3	1.0000E-6	-1.0000E-6	14.0773E-3	-14.0945E-3	14.0859E+3	-150.0000E+0	285.2748E-12	-150.0000E+0	243.5267E-12	16.2461E-6	10.8307E-6	21.6614E-6	00:25:29	11/03/2023
10.0027E+0	10.0218E+0	10.0123E+0	-9.5500E-3	1.0000E-6	-1.0000E-6	10.3756E-3	-10.3701E-3	10.3729E+3	1.0000E-6	-1.0000E-6	14.0731E-3	-14.0940E-3	14.0836E+3	-150.0000E+0	-2.1443E-9	-150.0000E+0	-1.7380E-9	21.6614E-6	21.6614E-6	21.6614E-6	00:25:32	11/03/2023
10.0072E+0	9.9852E+0	9.9962E+0	11.0000E-3	1.0000E-6	-1.0000E-6	10.3754E-3	-10.3697E-3	10.3726E+3	1.0000E-6	-1.0000E-6	14.0779E-3	-14.0990E-3	14.0884E+3	-150.0000E+0	320.5914E-12	-150.0000E+0	-296.1756E-12	5.4154E-6	10.8307E-6	0.0000E+0	00:25:35	11/03/2023
9.9545E+0	9.9996E+0	9.9770E+0	-22.5500E-3	1.0000E-6	-1.0000E-6	10.3759E-3	-10.3694E-3	10.3726E+3	1.0000E-6	-1.0000E-6	14.0777E-3	-14.0966E-3	14.0871E+3	-150.0000E+0	-1.1256E-9	-150.0000E+0	-1.1079E-9	5.4154E-6	0.0000E+0	10.8307E-6	00:25:38	11/03/2023
9.9885E+0	9.9646E+0	9.9765E+0	11.9500E-3	1.0000E-6	-1.0000E-6	10.3756E-3	-10.3700E-3	10.3728E+3	1.0000E-6	-1.0000E-6	14.0788E-3	-14.0951E-3	14.0870E+3	-150.0000E+0	-1.7014E-9	-150.0000E+0	-204.1878E-12	0.0000E+0	0.0000E+0	0.0000E+0	00:25:41	11/03/2023
9.9992E+0	10.0046E+0	10.0019E+0	-2.7000E-3	1.0000E-6	-1.0000E-6	10.3757E-3	-10.3698E-3	10.3727E+3	1.0000E-6	-1.0000E-6	14.0771E-3	-14.0961E-3	14.0866E+3	-150.0000E+0	-2.0593E-9	-150.0000E+0	-1.7841E-9	0.0000E+0	-10.8307E-6	10.8307E-6	00:25:44	11/03/2023
9.9821E+0	10.0046E+0	9.9933E+0	-11.2500E-3	1.0000E-6	-1.0000E-6	10.3752E-3	-10.3699E-3	10.3726E+3	1.0000E-6	-1.0000E-6	14.0756E-3	-14.0935E-3	14.0846E+3	-150.0000E+0	-1.1526E-9	-150.0000E+0	138.8524E-12	16.2461E-6	21.6614E-6	10.8307E-6	00:25:47	11/03/2023
10.0118E+0	10.0096E+0	10.0107E+0	1.1000E-3	1.0000E-6	-1.0000E-6	10.3753E-3	-10.3700E-3	10.3727E+3	1.0000E-6	-1.0000E-6	14.0755E-3	-14.0964E-3	14.0860E+3	-150.0000E+0	623.8528E-12	-150.0000E+0	-1.4864E-9	5.4154E-6	10.8307E-6	0.0000E+0	00:25:50	11/03/2023
9.9865E+0	9.9595E+0	9.9730E+0	13.5000E-3	1.0000E-6	-1.0000E-6	10.3757E-3	-10.3693E-3	10.3725E+3	1.0000E-6	-1.0000E-6	14.0790E-3	-14.0977E-3	14.0884E+3	-150.0000E+0	-136.6276E-12	-150.0000E+0	138.4414E-12	0.0000E+0	-10.8307E-6	10.8307E-6	00:25:54	11/03/2023
9.9871E+0	10.0093E+0	9.9982E+0	-11.1000E-3	1.0000E-6	-1.0000E-6	10.3762E-3	-10.3698E-3	10.3730E+3	1.0000E-6	-1.0000E-6	14.0752E-3	-14.0969E-3	14.0860E+3	-150.0000E+0	-2.1390E-9	-150.0000E+0	-463.8406E-12	-5.4154E-6	-0.0000E+0	-10.8307E-6	00:25:57	11/03/2023
9.9735E+0	9.9840E+0	9.9787E+0	-5.2500E-3	1.0000E-6	-1.0000E-6	10.3757E-3	-10.3703E-3	10.3730E+3	1.0000E-6	-1.0000E-6	14.0782E-3	-14.0941E-3	14.0862E+3	-150.0000E+0	550.6232E-12	-150.0000E+0	-994.7736E-12	5.4154E-6	-10.8307E-6	21.6614E-6	00:26:00	11/03/2023
10.0116E+0	10.0188E+0	10.0152E+0	-3.6000E-3	1.0000E-6	-1.0000E-6	10.3755E-3	-10.3698E-3	10.3727E+3	1.0000E-6	-1.0000E-6	14.0750E-3	-14.0919E-3	14.0835E+3	-150.0000E+0	-755.2183E-12	-150.0000E+0	-1.7924E-9	0.0000E+0	0.0000E+0	0.0000E+0	00:26:03	11/03/2023
10.0206E+0	9.9946E+0	10.0076E+0	13.0000E-3	1.0000E-6	-1.0000E-6	10.3760E-3	-10.3702E-3	10.3731E+3	1.0000E-6	-1.0000E-6	14.0772E-3	-14.0974E-3	14.0873E+3	-150.0000E+0	-1.5912E-9	-150.0000E+0	-1.7100E-9	10.8307E-6	10.8307E-6	10.8307E-6	00:26:06	11/03/2023
9.9541E+0	9.9540E+0	9.9541E+0	50.0000E-6	1.0000E-6	-1.0000E-6	10.3755E-3	-10.3693E-3	10.3724E+3	1.0000E-6	-1.0000E-6	14.0824E-3	-14.1007E-3	14.0916E+3	-150.0000E+0	404.2061E-12	-150.0000E+0	-1.2521E-9	10.8307E-6	10.8307E-6	10.8307E-6	00:26:09	11/03/2023
9.9351E+0	9.9628E+0	9.9489E+0	-13.8500E-3	1.0000E-6	-1.0000E-6	10.3756E-3	-10.3699E-3	10.3727E+3	1.0000E-6	-1.0000E-6	14.0823E-3	-14.1005E-3	14.0914E+3	-150.0000E+0	-2.0989E-9	-150.0000E+0	-1.2884E-9	5.4154E-6	0.0000E+0	10.8307E-6	00:26:12	11/03/2023
9.9773E+0	9.9477E+0	9.9625E+0	14.8000E-3	1.0000E-6	-1.0000E-6	10.3753E-3	-10.3695E-3	10.3724E+3	1.0000E-6	-1.0000E-6	14.0836E-3	-14.1006E-3	14.0921E+3	-150.0000E+0	-1.3319E-9	-150.0000E+0	-1.3763E-9	-0.0000E+0	-0.0000E+0	-0.0000E+0	00:26:15	11/03/2023
9.9537E+0	9.9979E+0	9.9758E+0	-22.1000E-3	1.0000E-6	-1.0000E-6	10.3757E-3	-10.3700E-3	10.3728E+3	1.0000E-6	-1.0000E-6	14.0788E-3	-14.0971E-3	14.0879E+3	-150.0000E+0	-489.4603E-12	-150.0000E+0	950.2006E-12	0.0000E+0	-10.8307E-6	10.8307E-6	00:26:19	11/03/2023
10.0080E+0	9.9469E+0	9.9774E+0	30.5500E-3	1.0000E-6	-1.0000E-6	10.3758E-3	-10.3695E-3	10.3726E+3	1.0000E-6	-1.0000E-6	14.0827E-3	-14.1002E-3	14.0914E+3	-150.0000E+0	596.8611E-12	-150.0000E+0	-749.9118E-12	10.8307E-6	10.8307E-6	10.8307E-6	00:26:22	11/03/2023
9.9432E+0	9.9664E+0	9.9548E+0	-11.6000E-3	1.0000E-6	-1.0000E-6	10.3758E-3	-10.3694E-3	10.3726E+3	1.0000E-6	-1.0000E-6	14.0813E-3	-14.0998E-3	14.0906E+3	-150.0000E+0	-2.1832E-9	-150.0000E+0	75.9984E-12	5.4154E-6	0.0000E+0	10.8307E-6	00:26:25	11/03/2023
9.9571E+0	9.9906E+0	9.9739E+0	-16.7500E-3	1.0000E-6	-1.0000E-6	10.3753E-3	-10.3698E-3	10.3725E+3	1.0000E-6	-1.0000E-6	14.0787E-3	-14.0992E-3	14.0890E+3	-150.0000E+0	529.8956E-12	-150.0000E+0	782.3033E-12	0.0000E+0	0.0000E+0	0.0000E+0	00:26:28	11/03/2023
9.9575E+0	9.9297E+0	9.9436E+0	13.9000E-3	1.0000E-6	-1.0000E-6	10.3758E-3	-10.3697E-3	10.3727E+3	1.0000E-6	-1.0000E-6	14.0822E-3	-14.1039E-3	14.0931E+3	-150.0000E+0	195.9733E-12	-150.0000E+0	-2.0003E-9	5.4154E-6	10.8307E-6	-0.0000E+0	00:26:31	11/03/2023
9.9188E+0	9.9058E+0	9.9123E+0	6.5000E-3	1.0000E-6	-1.0000E-6	10.3758E-3	-10.3700E-3	10.3729E+3	1.0000E-6	-1.0000E-6	14.0857E-3	-14.1023E-3	14.0940E+3	-150.0000E+0	-759.2159E-12	-150.0000E+0	932.9061E-12	5.4154E-6	21.6614E-6	-10.8307E-6	00:26:34	11/03/2023
9.9463E+0	9.9777E+0	9.9620E+0	-15.7000E-3	1.0000E-6	-1.0000E-6	10.3757E-3	-10.3692E-3	10.3725E+3	1.0000E-6	-1.0000E-6	14.0803E-3	-14.0995E-3	14.0899E+3	-150.0000E+0	-577.2771E-12	-150.0000E+0	-851.0196E-12	10.8307E-6	10.8307E-6	10.8307E-6	00:26:37	11/03/2023
9.9757E+0	9.9853E+0	9.9805E+0	-4.8000E-3	1.0000E-6	-1.0000E-6	10.3754E-3	-10.3696E-3	10.3725E+3	1.0000E-6	-1.0000E-6	14.0784E-3	-14.1015E-3	14.0899E+3	-150.0000E+0	-1.4309E-9	-150.0000E+0	161.1594E-12	-5.4154E-6	-10.8307E-6	-0.0000E+0	00:26:40	11/03/2023
9.9361E+0	9.9514E+0	9.9437E+0	-7.6500E-3	1.0000E-6	-1.0000E-6	10.3754E-3	-10.3700E-3	10.3727E+3	1.0000E-6	-1.0000E-6	14.0813E-3	-14.1016E-3	14.0915E+3	-150.0000E+0	-615.5199E-12	-150.0000E+0	874.3657E-12	10.8307E-6	21.6614E-6	0.0000E+0	00:26:44	11/03/2023
9.9634E+0	9.9173E+0	9.9403E+0	23.0500E-3	1.0000E-6	-1.0000E-6	10.3754E-3	-10.3694E-3	10.3724E+3	1.0000E-6	-1.0000E-6	14.0849E-3	-14.1063E-3	14.0956E+3	-150.0000E+0	-1.6496E-9	-150.0000E+0	-1.0173E-9	16.2461E-6	21.6614E-6	10.8307E-6	00:26:47	11/03/2023
9.9108E+0	9.9225E+0	9.9167E+0	-5.8500E-3	1.0000E-6	-1.0000E-6	10.3755E-3	-10.3698E-3	10.3727E+3	1.0000E-6	-1.0000E-6	14.0860E-3	-14.1061E-3	14.0960E+3	-150.0000E+0	197.4157E-12	-150.0000E+0	-85.1254E-12	5.4154E-6	10.8307E-6	0.0000E+0	00:26:50	11/03/2023
9.9243E+0	9.9060E+0	9.9152E+0	9.1500E-3	1.0000E-6	-1.0000E-6	10.3757E-3	-10.3695E-3	10.3726E+3	1.0000E-6	-1.0000E-6	14.0876E-3	-14.1042E-3	14.0959E+3	-150.0000E+0	-615.7253E-12	-150.0000E+0	-1.5025E-9	5.4154E-6	0.0000E+0	10.8307E-6	00:26:53	11/03/2023
9.9305E+0	9.9578E+0	9.9442E+0	-13.6500E-3	1.0000E-6	-1.0000E-6	10.3752E-3	-10.3694E-3	10.3723E+3	1.0000E-6	-1.0000E-6	14.0835E-3	-14.1038E-3	14.0936E+3	-150.0000E+0	61.5063E-12	-150.0000E+0	816.9354E-12	0.0000E+0	-0.0000E+0	0.0000E+0	00:26:56	11/03/2023
9.9227E+0	9.9019E+0	9.9123E+0	10.4000E-3	1.0000E-6	-1.0000E-6	10.3753E-3	-10.3701E-3	10.3727E+3	1.0000E-6	-1.0000E-6	14.0862E-3	-14.1070E-3	14.0966E+3	-150.0000E+0	392.8728E-12	-150.0000E+0	768.4177E-12	5.4154E-6	-0.0000E+0	10.8307E-6	00:26:59	11/03/2023
9.8954E+0	9.9013E+0	9.8984E+0	-2.9500E-3	1.0000E-6	-1.0000E-6	10.3756E-3	-10.3696E-3	10.3726E+3	1.0000E-6	-1.0000E-6	14.0870E-3	-14.1041E-3	14.0955E+3	-150.0000E+0	-1.8517E-9	-150.0000E+0	779.7562E-12	-16.2461E-6	-32.4921E-6	-0.0000E+0	00:27:02	11/03/2023
9.9318E+0	9.9381E+0	9.9350E+0	-3.1500E-3	1.0000E-6	-1.0000E-6	10.3760E-3	-10.3696E-3	10.3728E+3	1.0000E-6	-1.0000E-6	14.0845E-3	-14.1032E-3	14.0938E+3	-150.0000E+0	-2.1183E-9	-150.0000E+0	733.3348E-12	27.0768E-6	10.8307E-6	43.3229E-6	00:27:05	11/03/2023
9.9325E+0	9.9310E+0	9.9317E+0	750.0000E-6	1.0000E-6	-1.0000E-6	10.3759E-3	-10.3703E-3	10.3731E+3	1.0000E-6	-1.0000E-6	14.0850E-3	-14.1051E-3	14.0951E+3	-150.0000E+0	-1.5494E-9	-150.0000E+0	-123.3339E-12	10.8307E-6	21.6614E-6	0.0000E+0	00:27:08	11/03/2023
9.9283E+0	9.9179E+0	9.9231E+0	5.2000E-3	1.0000E-6	-1.0000E-6	10.3760E-3	-10.3691E-3	10.3725E+3	1.0000E-6	-1.0000E-6	14.0865E-3	-14.1033E-3	14.0949E+3	-150.0000E+0	-2.1735E-9	-150.0000E+0	675.9036E-12	0.0000E+0	-10.8307E-6	10.8307E-6	00:27:12	11/03/2023
9.9336E+0	9.8990E+0	9.9163E+0	17.3000E-3	1.0000E-6	-1.0000E-6	10.3752E-3	-10.3699E-3	10.3725E+3	1.0000E-6	-1.0000E-6	14.0884E-3	-14.1070E-3	14.0977E+3	-150.0000E+0	-1.5752E-9	-150.0000E+0	333.0013E-12	5.4154E-6	-10.8307E-6	21.6614E-6	00:27:15	11/03/2023
9.9048E+0	9.9009E+0	9.9029E+0	1.9500E-3	1.0000E-6	-1.0000E-6	10.3755E-3	-10.3695E-3	10.3725E+3	1.0000E-6	-1.0000E-6	14.0882E-3	-14.1033E-3	14.0957E+3	-150.0000E+0	-1.6395E-9	-150.0000E+0	-1.8777E-9	21.6614E-6	10.8307E-6	32.4921E-6	00:27:18	11/03/2023
9.9477E+0	9.9670E+0	9.9573E+0	-9.6500E-3	1.0000E-6	-1.0000E-6	10.3749E-3	-10.3700E-3	10.3725E+3	1.0000E-6	-1.0000E-6	14.0817E-3	-14.1054E-3	14.0936E+3	-150.0000E+0	-104.5257E-12	-150.0000E+0	-1.8185E-9	5.4154E-6	10.8307E-6	-0.0000E+0	00:27:21	11/03/2023
9.9007E+0	9.8542E+0	9.8774E+0	23.2500E-3	1.0000E-6	-1.0000E-6	10.3750E-3	-10.3692E-3	10.3721E+3	1.0000E-6	-1.0000E-6	14.0900E-3	-14.1091E-3	14.0996E+3	-150.0000E+0	-1.8315E-9	-150.0000E+0	-861.1261E-12	27.0768E-6	32.4921E-6	21.6614E-6	00:27:24	11/03/2023
